Región,Provincia,Localidad,Lectura_26_08_25_al_11_09_25,Lectura_12_09_25_al_27_09_25,Lectura_28_09_25_al_13_10_25
NOA,Jujuy,EL Carmen,0,3,0
NOA,Jujuy,Fraile Pintado,3,8,13
NOA,Jujuy,Santa Clara,2,1,2
NOA,Jujuy,El Bananal,16,30,67
NOA,Salta,Rivadavia,Trampa perdida,2,Sin datos
NOA,Salta,Piquete Cabado 1,5,Sin datos,1
NOA,Salta,Antilla,2,5,3
NOA,Salta,Ballivián,0,0,0
NOA,Salta,Ceibalito,1,1,0
NOA,Salta,Copo Quiles,133,5,Sin datos
NOA,Salta,El Bordo,0,0,Sin datos
NOA,Salta,El Galpón,13,17,0
NOA,Salta,El Tunal,4,2,3
NOA,Salta,Embarcación,2,2,0
NOA,Salta,Gral Pizarro,3,2,0
NOA,Salta,Horcones,5,0,0
NOA,Salta,J V Gonzales,0,0,0
NOA,Salta,Las Lajitas T3,2,5,2
NOA,Salta,Metan 1,1,0,Trampa perdida
NOA,Salta,Metan 2,33,19,4
NOA,Salta,Mollinedo,8,4,0
NOA,Salta,Mosconi,4,3,2
NOA,Salta,Nstra Sra de Talavera,12,8,0
NOA,Salta,Pichanal,0,0,0
NOA,Salta,Piquete Cabado 2,0,0,0
NOA,Salta,Santo Domingo,2,1,1
NOA,Salta,Saravia,0,0,0
NOA,Salta,Tolloche,0,3,1
NOA,Salta,Urundel,1,2,0
NOA,Salta,Metán,16,0,0
NOA,Tucumán,Alto Verde,3,44,139
NOA,Tucumán,Burruyacu,1,1,0
NOA,Tucumán,Chilca,23,5,1
NOA,Tucumán,Garmendia,3,1,0
NOA,Tucumán,Huasa Pampa,0,1,0
NOA,Tucumán,La Bajada,4,4,4
NOA,Tucumán,La Cocha 1,27,19,12
NOA,Tucumán,La Cruz,52,15,2
NOA,Tucumán,La Invernada,8,1,2
NOA,Tucumán,La Virginia,25,1,0
NOA,Tucumán,Laguna de Robles,Sin datos,1,3
NOA,Tucumán,Las Cejas,40,12,Auditando
NOA,Tucumán,Los Pereyra,1,4,6
NOA,Tucumán,Los Puestos,0,0,0
NOA,Tucumán,Piedrabuena,3,0,0
NOA,Tucumán,Rapelli,7,6,Sin datos
NOA,Tucumán,Río Colorado,6,2,0
NOA,Tucumán,Rumi Punco,8,6,4
NOA,Tucumán,San Agustín,1,0,0
NOA,Tucumán,Tacanas,5,8,0
NOA,Tucumán,Taco Ralo,12,9,5
NOA,Tucumán,Timbo Viejo,150,8,3
NOA,Tucumán,Trancas,6,0,0
NOA,Tucumán,Sunchal,Sin datos,9,4
NOA,Tucumán,Viclos,9,1,1
NOA,Tucumán,Leales,5,1,0
NOA,Santiago del Estero,Bobadal,4,0,0
NOA,Santiago del Estero,El Charco,9,6,0
NOA,Santiago del Estero,El Palomar,0,0,0
NOA,Santiago del Estero,Frias 2,1,0,0
NOA,Santiago del Estero,Frias,0,0,0
NOA,Santiago del Estero,Isca Yacu 2,3,0,0
NOA,Santiago del Estero,Lavalle,1,0,0
NOA,Santiago del Estero,Nueva Esperanza,2,4,0
NOA,Santiago del Estero,Pampa Pozo,1,0,0
NOA,Santiago del Estero,Pozo Hondo,2,3,2
NOA,Santiago del Estero,San Pedro de Guasayán,9,35,2
NOA,Santiago del Estero,Termas R. Hondo,2,0,1
NOA,Santiago del Estero,Vinará,3,1,3
NOA,Santiago del Estero,Termas de Río Hondo,0,0,0
NOA,Santiago del Estero,Fisco,Sin datos,2,1
NOA,Catamarca,El Abra,0,3,1
NOA,Catamarca,Los Altos,0,0,0
NOA,Catamarca,Frias,1,1,0
NEA,Formosa,El colorado,0,2,0
NEA,Formosa,Comandante Fontana,426,181,178
NEA,Chaco,Tres Isletas,Trampa perdida,6,Sin datos
NEA,Chaco,Pampa del Infierno,5,0,0
NEA,Chaco,Concepcion del Bermejo (Estanislao),Trampa perdida,3,2
NEA,Chaco,Villa Angela,Trampa perdida,0,0
NEA,Chaco,Las Piedritas,2,4,3
