Zona,Provincia,Localidad,Cant_14_10_25_al_29_10_25,Cant_30_10_25_al_14_11_25,Cant_15_11_25_al_29_11_25
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,El Guanagan,Sin datos,0,0
NEA,Santa Fe,Santa Margarina,Sin datos,0,0
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,Emilia,0,0,0
NEA,Santa Fe,Reconquista,0,0,0
NEA,Santa Fe,Calchaquí,0,0,1
NEA,Santa Fe,Logroño,0,0,0
NEA,Santa Fe,San javier,0,0,0
NEA,Santa Fe,La sarita,12,24,16
NEA,Santa Fe,La Pelada,0,0,0
NEA,Santa Fe,Ambrosetti,0,0,0
NEA,Santa Fe,La Penca y Caraguatá,0,1,2
NEA,Santa Fe,Ramayón,0,0,0
NEA,Santa Fe,Margarita,0,0,0
NEA,Santa Fe,Vera y Pintado,0,0,0
NEA,Santa Fe,La María,0,0,0
NEA,Santa Fe,La Osca,0,0,0
NEA,Santa Fe,Malabrigo,1,0,4
NEA,Santa Fe,Soledad,0,0,0
NEA,Santa Fe,Colonia Esther,0,0,0
NEA,Santa Fe,Arroyo Ceibal,0,0,0
NEA,Santa Fe,Hersilia,0,0,0
NEA,Santiago del Estero,Weisburd,11,6,0
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Arbol Blanco,1,2,Trampa perdida
NEA,Santiago del Estero,Los Juries,0,Sin datos,0
NEA,Santiago del Estero,Roversi,0,0,0
NEA,Santiago del Estero,Tacañitas,0,1,2
NEA,Santiago del Estero,Sachayoj,1,0,0
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Santiago del Estero,Tierras del Oeste,0,0,0
NEA,Santiago del Estero,Weisburd,Sin datos,0,0
NEA,Santiago del Estero,Isla Baja,0,0,0
NEA,Santiago del Estero,Tomás Young,0,0,0
NEA,Santiago del Estero,Sachayoj,2,2,Sin datos
NEA,Santiago del Estero,Coronel Rico,0,0,Sin datos
NEA,Santiago del Estero,Quimilí,0,0,0
NEA,Santiago del Estero,Añatuya,0,0,Trampa perdida
NEA,Santiago del Estero,Malbran,Sin datos,0,0
NEA,Santiago del Estero,Pampa de los Guanacos,0,0,0
NEA,Santiago del Estero,Colonia Alpina,0,0,1
NEA,Santiago del Estero,Cuatro Bocas,0,0,0
NEA,Santiago del Estero,Puna,0,1,1
NEA,Santiago del Estero,Campo del Cielo,Sin datos,2,1
NEA,Santiago del Estero,Lilo Viejo,0,0,Sin datos
NEA,Santiago del Estero,La Rosita,0,0,0
NEA,Santiago del Estero,Girardet,0,0,0
NEA,Santiago del Estero,Cejolao,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Santiago del Estero,Casares,0,Sin datos,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,0,0,0
NEA,Santiago del Estero,Pozo de toba,0,0,0
NEA,Santiago del Estero,Moreno,Sin datos,Sin datos,0
Litoral,Corrientes,Mercedes,1,6,13
Litoral,Corrientes,Ambrosio,0,0,3
Litoral,Corrientes,Corrientes,0,0,0
Litoral,Corrientes,Bella Vista,0,0,Sin datos
Litoral,Corrientes,Sauce,0,20,26
Litoral,Corrientes,Estancia el Rocio Copra,2,1,10
Litoral,Corrientes,Mercedes,3,0,55
Litoral,Corrientes,Virasoro,0,6,4
Litoral,Corrientes,Goya,0,3,6
Litoral,Corrientes,Curuzú,0,2,1
Litoral,Corrientes,Esquina,0,0,1
Litoral,Corrientes,Monte Caseros,Sin datos,5,1
Litoral,Entre Ríos,Don Cristobal,0,0,2
Litoral,Entre Ríos,Isletas,0,0,0
Litoral,Entre Ríos,San Salvador,Sin datos,1,0
Litoral,Entre Ríos,Hinojal,0,1,0
Litoral,Entre Ríos,Viale,0,0,0
Litoral,Entre Ríos,Colonia Celina,0,0,1
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,0,0,0
Litoral,Entre Ríos,Villa Hernandarias,0,0,0
Litoral,Entre Ríos,Don Cristobal,0,0,0
Litoral,Entre Ríos,Crespo,0,0,0
Litoral,Entre Ríos,Las Garzas,0,0,0
Litoral,Entre Ríos,Santa Elena,0,Sin datos,4
Litoral,Entre Ríos,La Paz,0,0,3
Litoral,Entre Ríos,Feliciano,0,0,Sin datos
Litoral,Entre Ríos,Molino Doll,0,0,0
Litoral,Entre Ríos,Gualeguaychu,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Victoria,0,Sin datos,0
Litoral,Entre Ríos,Arroyo Barú,0,Sin datos,0
Litoral,Entre Ríos,La Paz,0,1,0
Litoral,Entre Ríos,Nogoya,0,0,0
Litoral,Entre Ríos,Urdinarrain,0,0,0
Litoral,Entre Ríos,Concepción del Uruguay,0,0,0
Litoral,Entre Ríos,Diamante,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Parana,0,0,0
Litoral,Entre Ríos,Villa Mantero,Sin datos,0,0
Centro Norte,Córdoba,Corralito,0,0,1
Centro Norte,Córdoba,El Fortín,0,0,0
Centro Norte,Córdoba,Freyre,0,0,0
Centro Norte,Córdoba,Morteros,0,0,0
Centro Norte,Córdoba,Rayo Cortado,1,0,0
Centro Norte,Córdoba,Jesus María,0,0,1
Centro Norte,Córdoba,Cañada de Luque,0,0,0
Centro Norte,Córdoba,Río Ceballos,2,0,0
Centro Norte,Córdoba,Villa María,0,0,Trampa perdida
Centro Norte,Córdoba,Carrilobo,0,0,0
Centro Norte,Córdoba,Capilla de Sitón,0,0,0
Centro Norte,Córdoba,Devoto,0,Sin datos,0
Centro Norte,Córdoba,San Francisco,0,0,0
Centro Norte,Córdoba,Eufrasio Loza,0,Sin datos,0
Centro Norte,Córdoba,Laguna Larga,0,0,0
Centro Norte,Córdoba,Las Bajadas,2,Sin datos,1
Centro Norte,Córdoba,Monte del Rosario,0,0,Trampa perdida
Centro Norte,Córdoba,Montecristo,0,1,1
Centro Norte,Córdoba,Obispo trejo,0,0,0
Centro Norte,Córdoba,Río Segundo- T1,0,0,0
Centro Norte,Córdoba,Arroyito,0,Sin datos,0
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,0
Centro Norte,Córdoba,Villa de Maria,0,0,0
Centro Norte,Córdoba,Villa Sta. Rosa,0,0,0
Centro Norte,Córdoba,Colonia Tirolesa,0,0,0
Centro Norte,Córdoba,Hernando,2,Sin datos,0
Centro Norte,Córdoba,Piquillín,0,0,0
Centro Norte,Córdoba,Las Chilcas,0,0,0
Centro Norte,Córdoba,Sebastián el Cano,0,0,0
Centro Norte,Córdoba,El Tío,0,0,0
Centro Norte,Córdoba,Las Astillas,1,1,0
Centro Norte,Córdoba,Tala Norte,0,Sin datos,0
Centro Norte,Córdoba,Mi Granja,0,0,Sin datos
Centro Norte,Córdoba,Sacanta,0,Sin datos,Sin datos
Centro Norte,Córdoba,Sinsacate,0,0,Sin datos
Centro Norte,Córdoba,Manfredi,0,0,0
Centro Norte,Córdoba,Brinkmann,0,0,0
Centro Norte,Córdoba,San Francisco,0,0,0
Centro Norte,Córdoba,Colonia Marina,0,0,0
Centro Norte,Córdoba,Villa Fontana,0,0,0
Centro Norte,Córdoba,Loma Del Trozo,0,0,Sin datos
Centro Norte,San Luis,La Toma,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Humboldt,0,0,0
Centro Norte,Santa Fe,Landeta,0,0,0
Centro Norte,Santa Fe,Piamonte,0,0,0
Centro Norte,Santa Fe,San Vicente,0,0,0
Centro Norte,Santa Fe,Susana,0,0,0
Centro Norte,Santa Fe,San Guillermo,0,0,2
Centro Norte,Santa Fe,San Jorge,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0,0
Centro Norte,Santa Fe,Vila,0,0,0
Centro Norte,Santa Fe,El Trébol,0,0,0
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,0,0,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,0
Centro Norte,Santa Fe,Emilia,0,0,0
Centro Norte,Santa Fe,Gálvez,Trampa perdida,0,0
Centro Norte,Santa Fe,La Camila,0,Sin datos,0
Centro Norte,Santa Fe,Aldao,4,2,Trampa perdida
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,0,0,0
Centro Norte,Santa Fe,Sastre,1,1,0
Centro Norte,Santa Fe,San Jerónimo Norte,3,4,7
Centro Norte,Santa Fe,Ataliva,0,0,0
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0,0
