Zona,Provincia,Localidad,Latitud,Longitud,Cant_22_10_24_al_08_11_24,Cant_09_11_24_al_22_11_24,Cant_23_11_24_al_06_12_24
NOA,Jujuy,Palpala,,,0,0,1
NOA,Jujuy,EL Carmen,,,2,0,Sin datos
NOA,Jujuy,Fraile Pintado,,,0,0,Sin datos
NOA,Jujuy,Santa Clara,,,0,0,Sin datos
NOA,Jujuy,El Bananal,,,0,Trampa perdida,0
NOA,Salta,Rio Piedras,,,9,5,3
NOA,Salta,Macapillo,,,1,8,6
NOA,Salta,Güemes,,,9,2,12
NOA,Salta,Rivadavia,,,0,4,8
NOA,Salta,Piquete Cabado 1,,,0,1,0
NOA,Salta,Antilla,,,0,3,0
NOA,Salta,Ballivián,,,0,0,1
NOA,Salta,Ceibalito,,,0,0,0
NOA,Salta,Chaguaral,,,0,0,0
NOA,Salta,Copo Quiles,,,0,0,0
NOA,Salta,El Bordo,,,0,Trampa perdida,2
NOA,Salta,El Galpón,,,0,9,6
NOA,Salta,El Tunal,,,0,0,0
NOA,Salta,Embarcación,,,Sin datos,0,74
NOA,Salta,Gral Pizarro,,,1,0,0
NOA,Salta,Horcones,,,0,0,1
NOA,Salta,J V Gonzales,,,0,0,0
NOA,Salta,Las Lajitas (este),,,0,2,6
NOA,Salta,Las Lajitas T3,,,0,0,0
NOA,Salta,Metan 1,,,0,0,0
NOA,Salta,Metan 2,,,0,0,0
NOA,Salta,Mollinedo,,,0,0,0
NOA,Salta,Mosconi,,,0,0,Sin datos
NOA,Salta,Nstra Sra de Talavera,,,0,0,0
NOA,Salta,Pichanal,,,9,1,6
NOA,Salta,Piquete Cabado 2,,,0,0,0
NOA,Salta,Rosario de la Frontera,,,0,0,2
NOA,Salta,Santo Domingo,,,Sin datos,0,0
NOA,Salta,Saravia,,,0,0,0
NOA,Salta,Tolloche,,,0,0,1
NOA,Salta,Urundel,,,2,0,0
NOA,Salta,Metán,,,0,0,0
NOA,Tucumán,Acequiones,,,0,0,Trampa perdida
NOA,Tucumán,Taco Ralo,,,1,0,3
NOA,Tucumán,Alto Verde,,,46,42,78
NOA,Tucumán,Burruyacu,,,0,0,0
NOA,Tucumán,Chilca,,,0,0,0
NOA,Tucumán,Garmendia,,,0,0,0
NOA,Tucumán,Huasa Pampa,,,0,0,0
NOA,Tucumán,La Bajada,,,3,1,4
NOA,Tucumán,La Cocha 1,,,4,2,5
NOA,Tucumán,La Cruz,,,Sin datos,5,2
NOA,Tucumán,La Invernada,,,0,0,0
NOA,Tucumán,La Virginia,,,0,0,7
NOA,Tucumán,Laguna de Robles,,,0,0,0
NOA,Tucumán,Las Cejas,,,8,5,10
NOA,Tucumán,Los Pereyra,,,2,0,3
NOA,Tucumán,Los Puestos,,,0,0,1
NOA,Tucumán,Piedrabuena,,,0,0,0
NOA,Tucumán,Rapelli,,,Sin datos,1,2
NOA,Tucumán,Río Colorado,,,0,0,0
NOA,Tucumán,Rumi Punco,,,3,3,2
NOA,Tucumán,San Agustín,,,0,1,0
NOA,Tucumán,Tacanas,,,1,0,0
NOA,Tucumán,Taco Ralo,,,4,5,3
NOA,Tucumán,Timbo Viejo,,,25,18,2
NOA,Tucumán,Trancas,,,0,0,0
NOA,Tucumán,Viclos,,,0,0,0
NOA,Tucumán,Leales,,,Sin datos,0,0
NOA,Santiago del Estero,Bobadal,,,0,0,0
NOA,Santiago del Estero,El Charco,,,3,0,1
NOA,Santiago del Estero,El Mojón,,,0,0,Trampa perdida
NOA,Santiago del Estero,El Palomar,,,0,0,0
NOA,Santiago del Estero,Frias 2,,,0,0,0
NOA,Santiago del Estero,Frias,,,1,0,1
NOA,Santiago del Estero,Isca Yacu 1,,,Sin datos,1,0
NOA,Santiago del Estero,Isca Yacu 2,,,0,0,0
NOA,Santiago del Estero,Las Delicias,,,0,0,1
NOA,Santiago del Estero,Lavalle,,,0,0,0
NOA,Santiago del Estero,Nueva Esperanza,,,0,0,Sin datos
NOA,Santiago del Estero,Pampa Pozo,,,0,0,0
NOA,Santiago del Estero,Pozo de Bedert,,,0,0,Sin datos
NOA,Santiago del Estero,Pozo Hondo,,,0,0,0
NOA,Santiago del Estero,San Pedro de Guasayán,,,3,3,2
NOA,Santiago del Estero,Termas de Río Hondo,,,0,0,1
NOA,Santiago del Estero,Vinará,,,2,5,2
NOA,Catamarca,El Abra,,,0,1,1
NOA,Catamarca,Los Altos,,,0,0,0
NEA,Formosa,Las Lomitas,,,0,0,3
NEA,Formosa,Perin,,,0,75,90
NEA,Formosa,El colorado,,,0,0,3
NEA,Formosa,Comandante Fontana,,,0,1,Trampa perdida
NEA,Chaco,Tres Isletas,,,4,4,6
