Región,Provincia,Localidad,Lectura_17_01_26_al_31_01_26,Lectura_01_02_26_al_16_02_26,Lectura_17_02_26_al_01_03_26
Uruguay,Uruguay,Mercedes,0,2,6
Uruguay,Uruguay,Peñarol,0,Sin datos,Sin datos
Uruguay,Uruguay,Los Arenales,Sin datos,3,6
Uruguay,Uruguay,Nueva Helvecia,0,0,18
Uruguay,Uruguay,Colonia,0,0,3
Uruguay,Uruguay,Palmitas,0,0,4
Uruguay,Uruguay,Durazno,Sin datos,1,52
Uruguay,Uruguay,Young,1,12,Sin datos
Uruguay,Uruguay,Young,Sin datos,13,237
NOA,Jujuy,EL Carmen,2,4,8
NOA,Jujuy,Fraile Pintado,0,2,6
NOA,Jujuy,Santa Clara,1,4,9
NOA,Jujuy,El Bananal,78,124,60
NOA,Salta,Agua Sucia,6,16,0
NOA,Salta,Rio Piedras,5,12,4
NOA,Salta,Rivadavia,Sin datos,11,0
NOA,Salta,Piquete Cabado 1,17,Sin datos,43
NOA,Salta,Antilla,1,3,17
NOA,Salta,Ballivián,0,Sin datos,0
NOA,Salta,Ceibalito,16,Sin datos,Trampa perdida
NOA,Salta,Copo Quiles,4,Sin datos,Sin datos
NOA,Salta,El Galpón,3,9,146
NOA,Salta,El Tunal,Trampa perdida,Sin datos,Sin datos
NOA,Salta,Embarcación,2,Sin datos,0
NOA,Salta,Gral Pizarro,0,Sin datos,5
NOA,Salta,Horcones,0,0,0
NOA,Salta,J V Gonzales,5,31,83
NOA,Salta,Las Lajitas T3,5,Sin datos,3
NOA,Salta,Metan 1,4,1,1
NOA,Salta,Metan 2,7,0,2
NOA,Salta,Mollinedo,0,38,Trampa perdida
NOA,Salta,Mosconi,0,5,12
NOA,Salta,Nstra Sra de Talavera,11,121,Trampa perdida
NOA,Salta,Pichanal,3,Sin datos,0
NOA,Salta,Piquete Cabado 2,0,Trampa perdida,240
NOA,Salta,Santo Domingo,3,44,159
NOA,Salta,Saravia,0,1,16
NOA,Salta,Tolloche,0,10,0
NOA,Salta,Urundel,2,4,5
NOA,Salta,Metán,11,20,119
NOA,Tucumán,Tusquita,0,110,21
NOA,Tucumán,Alto Verde,214,177,81
NOA,Tucumán,Burruyacu,0,6,52
NOA,Tucumán,Chilca,1,Sin datos,Sin datos
NOA,Tucumán,Garmendia,1,0,0
NOA,Tucumán,Huasa Pampa,13,18,85
NOA,Tucumán,La Bajada,6,6,11
NOA,Tucumán,La Cocha 1,5,7,Trampa perdida
NOA,Tucumán,La Cruz,14,12,231
NOA,Tucumán,La Invernada,0,40,97
NOA,Tucumán,La Virginia,2,39,560
NOA,Tucumán,Laguna de Robles,27,28,158
NOA,Tucumán,Las Cejas,5,14,26
NOA,Tucumán,Los Pereyra,1,1,10
NOA,Tucumán,Los Puestos,0,0,15
NOA,Tucumán,Piedrabuena,0,12,124
NOA,Tucumán,Rapelli,0,Sin datos,92
NOA,Tucumán,Río Colorado,1,2,4
NOA,Tucumán,Rumi Punco,4,4,31
NOA,Tucumán,San Agustín,4,93,98
NOA,Tucumán,Tacanas,2,11,60
NOA,Tucumán,Taco Ralo,38,13,69
NOA,Tucumán,Timbo Viejo,50,152,245
NOA,Tucumán,Trancas,1,0,0
NOA,Tucumán,Viclos,2,19,Sin datos
NOA,Tucumán,Leales,Trampa perdida,105,273
NOA,Tucumán,Tala Pozo,20,15,15
NOA,Santiago del Estero,Bobadal,0,4,7
NOA,Santiago del Estero,El Charco,Trampa perdida,22,16
NOA,Santiago del Estero,El Palomar,Trampa perdida,Trampa perdida,Trampa perdida
