Zona,Provincia,Localidad,Cant_20_06_25_al_04_07_25,Cant_05_07_25_al_25_07_25,Cant_26_07_25_al_11_08_25
NOA,Jujuy,Palpala,860,383,Trampa perdida
NOA,Jujuy,EL Carmen,15,2,5
NOA,Jujuy,Fraile Pintado,18,5,8
NOA,Jujuy,Santa Clara,19,24,6
NOA,Jujuy,El Bananal,244,587,124
NOA,Salta,Güemes,Sin datos,Sin datos,Sin datos
NOA,Salta,Rivadavia,1235,32,504
NOA,Salta,Piquete Cabado 1,796,1416,217
NOA,Salta,Antilla,Sin datos,Sin datos,400
NOA,Salta,Ballivián,32,360,40
NOA,Salta,Ceibalito,113,Trampa perdida,65
NOA,Salta,Chaguaral,Trampa perdida,0,Trampa perdida
NOA,Salta,Copo Quiles,Sin datos,Sin datos,712
NOA,Salta,El Bordo,Sin datos,376,66
NOA,Salta,El Galpón,669,227,110
NOA,Salta,El Tunal,Sin datos,Sin datos,11
NOA,Salta,Embarcación,42,32,12
NOA,Salta,Gral Pizarro,20,Trampa perdida,65
NOA,Salta,Horcones,130,31,32
NOA,Salta,J V Gonzales,Trampa perdida,47,8
NOA,Salta,Las Lajitas T3,282,573,Sin datos
NOA,Salta,Metan 1,155,87,Sin datos
NOA,Salta,Metan 2,804,846,Sin datos
NOA,Salta,Mollinedo,1350,21,125
NOA,Salta,Mosconi,34,7,15
NOA,Salta,Nstra Sra de Talavera,Trampa perdida,9,64
NOA,Salta,Pichanal,280,2,58
NOA,Salta,Piquete Cabado 2,1580,363,110
NOA,Salta,Santo Domingo,448,1800,33
NOA,Salta,Saravia,Trampa perdida,1000,26
NOA,Salta,Tolloche,53,47,5
NOA,Salta,Urundel,Trampa perdida,21,22
NOA,Salta,Metán,4,6,3
NOA,Tucumán,Acequiones,25,43,5
NOA,Tucumán,Alto Verde,98,Trampa perdida,3
NOA,Tucumán,Burruyacu,Sin datos,500,170
NOA,Tucumán,Chilca,42,Sin datos,169
NOA,Tucumán,Garmendia,Sin datos,800,200
NOA,Tucumán,Huasa Pampa,407,241,27
NOA,Tucumán,La Bajada,12,12,4
NOA,Tucumán,La Cocha 1,47,101,116
NOA,Tucumán,La Cruz,Sin datos,1422,342
NOA,Tucumán,La Invernada,1065,295,69
NOA,Tucumán,La Virginia,42,Sin datos,238
NOA,Tucumán,Laguna de Robles,1096,Sin datos,100
NOA,Tucumán,Las Cejas,Sin datos,800,190
NOA,Tucumán,Los Pereyra,238,301,4
NOA,Tucumán,Los Puestos,34,Sin datos,54
NOA,Tucumán,Piedrabuena,38,Sin datos,7
