Zona,Provincia,Localidad,Latitud,Longitud,Cant_07_12_24_al_21_12_24,Cant_22_12_24_al_07_01_25,Cant_08_01_25_al_24_01_25
NEA,Santiago del Estero,Los Juries,,,0,1,0
NEA,Santiago del Estero,Roversi,,,0,0,0
NEA,Santiago del Estero,Otumpas,,,2,Sin datos,Sin datos
NEA,Santiago del Estero,Tacañitas,,,0,0,Auditando
NEA,Santiago del Estero,Sachayoj,,,0,0,2
NEA,Santiago del Estero,Campo Gallo,,,0,0,0
NEA,Santiago del Estero,Sachayoj,,,0,0,Sin datos
NEA,Santiago del Estero,Pampa de los Guanacos,,,0,Sin datos,7
NEA,Santiago del Estero,Sotos Cueva,,,0,Sin datos,Sin datos
NEA,Santiago del Estero,Rosello,,,0,0,Sin datos
NEA,Santiago del Estero,Tierras del Oeste,,,0,0,0
NEA,Santiago del Estero,Lilo Viejo,,,0,0,0
NEA,Santiago del Estero,Cuatro Bocas,,,0,Sin datos,0
NEA,Santiago del Estero,Rio Dulce,,,11,1,1
NEA,Santiago del Estero,La Rosita,,,0,0,Sin datos
NEA,Santiago del Estero,Weisburd,,,0,0,0
NEA,Santiago del Estero,Colonia Alpina,,,0,0,7
NEA,Santiago del Estero,Isla Baja,,,0,0,0
NEA,Santiago del Estero,Tomás Young,,,0,0,0
NEA,Santiago del Estero,Campo Gallo,,,0,0,0
NEA,Santiago del Estero,Pozo del Toba,,,0,0,0
NEA,Santiago del Estero,Desvío La Paloma,,,0,Sin datos,0
NEA,Santiago del Estero,Puna,,,Sin datos,0,Sin datos
NEA,Santiago del Estero,Otumpa,,,0,0,0
NEA,Santiago del Estero,Campo del Cielo,,,0,Sin datos,0
NEA,Santiago del Estero,El colorado,,,Sin datos,0,0
NEA,Santiago del Estero,Campo de Cielo,,,0,0,Sin datos
NEA,Santiago del Estero,Otumpa,,,0,Sin datos,Sin datos
NEA,Santiago del Estero,Los Juries,,,0,Sin datos,Sin datos
NEA,Santiago del Estero,Sachayoj,,,0,Sin datos,Sin datos
NEA,Santiago del Estero,Quimilí,,,0,Trampa perdida,1
NEA,Santiago del Estero,Pampa de los Guanacos,,,0,0,0
NEA,Santa Fe,Villa Minetti,,,0,0,0
NEA,Santa Fe,Logroño,,,0,0,Sin datos
NEA,Santa Fe,Villa Minetti,,,0,0,2
NEA,Santa Fe,La Pelada,,,Trampa perdida,0,Sin datos
NEA,Santa Fe,Juamarita,,,0,Sin datos,0
NEA,Santa Fe,Ambrosetti,,,0,0,5
NEA,Santa Fe,Arroyo Ceibal,,,1,5,7
NEA,Santa Fe,Hersilia,,,0,0,28
NEA,Santa Fe,La Penca y Caraguatá,,,0,0,4
NEA,Santa Fe,Ramayón,,,0,0,0
NEA,Santa Fe,Alejandra,,,0,0,0
NEA,Santa Fe,Margarita,,,0,0,0
NEA,Santa Fe,Vera y Pintado,,,0,0,0
NEA,Santa Fe,Emilia,,,0,0,Sin datos
