Región,Provincia,Localidad,Lectura_08_02_25_al_23_02_25,Lectura_24_02_25_al_13_03_25,Lectura_14_03_25_al_28_03_25
NEA,Santiago del Estero,Tacañitas,5,0,Sin datos
NEA,Santiago del Estero,Sachayoj,0,1,0
NEA,Santiago del Estero,Campo Gallo,0,5,Sin datos
NEA,Santiago del Estero,Sachayoj,133,166,Sin datos
NEA,Santiago del Estero,Pampa de los Guanacos,5,Sin datos,Sin datos
NEA,Santiago del Estero,Sotos Cueva,1,0,Sin datos
NEA,Santiago del Estero,Rosello,0,0,Sin datos
NEA,Santiago del Estero,Tierras del Oeste,0,27,Sin datos
NEA,Santiago del Estero,Lilo Viejo,1,1,52
NEA,Santiago del Estero,Cuatro Bocas,Sin datos,0,Sin datos
NEA,Santiago del Estero,Rio Dulce,2,Sin datos,2
NEA,Santiago del Estero,La Rosita,4,0,Sin datos
NEA,Santiago del Estero,Weisburd,13,17,5
NEA,Santiago del Estero,Colonia Alpina,57,31,83
NEA,Santiago del Estero,Isla Baja,12,18,Sin datos
NEA,Santiago del Estero,Tomás Young,6,37,187
NEA,Santiago del Estero,Campo Gallo,0,Sin datos,Sin datos
NEA,Santiago del Estero,Pozo del Toba,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,2,39,96
NEA,Santiago del Estero,Puna,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Otumpa,5,6,6
NEA,Santiago del Estero,Campo del Cielo,3,5,152
NEA,Santiago del Estero,El colorado,0,0,Sin datos
NEA,Santiago del Estero,Campo de Cielo,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Otumpa,4,Sin datos,Sin datos
NEA,Santiago del Estero,Los Juries,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Sachayoj,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Quimilí,2,2,11
NEA,Santiago del Estero,Pampa de los Guanacos,38,24,59
NEA,Santa Fe,Villa Minetti,4,4,258
NEA,Santa Fe,Logroño,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Villa Minetti,0,Sin datos,18
NEA,Santa Fe,La Pelada,39,Trampa perdida,53
NEA,Santa Fe,Juamarita,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Ambrosetti,26,Sin datos,20
NEA,Santa Fe,Arroyo Ceibal,6,7,78
NEA,Santa Fe,Hersilia,1,2,3
NEA,Santa Fe,La Penca y Caraguatá,166,161,492
NEA,Santa Fe,Ramayón,2,35,29
NEA,Santa Fe,Alejandra,27,31,37
