Zona,Provincia,Localidad,Cant_24_02_25_al_13_03_25,Cant_14_03_25_al_28_03_25,Cant_29_03_25_al_14_04_25
Uruguay,,Rosario,5,6,6
Uruguay,,Chamizo,4,1,1
Uruguay,,Mercedes,0,0,0
Uruguay,,Constancia,Sin datos,0,0
Uruguay,,Palmitas,0,1,1
NOA,Jujuy,Palpala,Sin datos,123,49
NOA,Jujuy,EL Carmen,5,1,6
NOA,Jujuy,Fraile Pintado,9,Trampa perdida,32
NOA,Jujuy,Santa Clara,4,1,21
NOA,Jujuy,El Bananal,0,21,44
NOA,Salta,Rio Piedras,240,Sin datos,Sin datos
NOA,Salta,Macapillo,Sin datos,Sin datos,Sin datos
NOA,Salta,Güemes,200,285,283
NOA,Salta,Rivadavia,9,40,Trampa perdida
NOA,Salta,Piquete Cabado 1,50,248,748
NOA,Salta,Antilla,32,52,Sin datos
NOA,Salta,Ballivián,15,22,36
NOA,Salta,Ceibalito,24,Sin datos,328
NOA,Salta,Chaguaral,0,0,0
NOA,Salta,Copo Quiles,47,72,205
NOA,Salta,El Bordo,0,237,384
NOA,Salta,El Galpón,75,369,903
NOA,Salta,El Tunal,41,142,132
NOA,Salta,Embarcación,20,118,163
NOA,Salta,Gral Pizarro,7,54,77
NOA,Salta,Horcones,30,120,174
NOA,Salta,J V Gonzales,89,Sin datos,Sin datos
NOA,Salta,Las Lajitas (este),Sin datos,Sin datos,Sin datos
NOA,Salta,Las Lajitas T3,12,30,708
NOA,Salta,Metan 1,0,36,71
NOA,Salta,Metan 2,375,260,816
NOA,Salta,Mollinedo,153,305,594
NOA,Salta,Mosconi,Trampa perdida,Trampa perdida,26
NOA,Salta,Nstra Sra de Talavera,Trampa perdida,Sin datos,0
NOA,Salta,Pichanal,Trampa perdida,0,0
NOA,Salta,Piquete Cabado 2,25,Sin datos,459
NOA,Salta,Rosario de la Frontera,18,Sin datos,Sin datos
NOA,Salta,Santo Domingo,23,Sin datos,1014
NOA,Salta,Saravia,3,Sin datos,612
NOA,Salta,Tolloche,266,Sin datos,459
NOA,Salta,Urundel,Trampa perdida,15,28
NOA,Salta,Metán,63,696,966
NOA,Tucumán,Taco Ralo,Sin datos,Sin datos,Sin datos
NOA,Tucumán,Acequiones,23,153,226
NOA,Tucumán,Alto Verde,47,131,105
NOA,Tucumán,Burruyacu,1,22,98
NOA,Tucumán,Chilca,25,254,524
NOA,Tucumán,Garmendia,158,Sin datos,750
NOA,Tucumán,Huasa Pampa,3,1,3
NOA,Tucumán,La Bajada,Sin datos,22,38
NOA,Tucumán,La Cocha 1,52,92,238
NOA,Tucumán,La Cruz,148,37,612
NOA,Tucumán,La Invernada,19,71,120
NOA,Tucumán,La Virginia,31,123,42
NOA,Tucumán,Laguna de Robles,59,132,219
NOA,Tucumán,Las Cejas,447,3120,3060
NOA,Tucumán,Los Pereyra,0,0,23
NOA,Tucumán,Los Puestos,3,16,65
NOA,Tucumán,Piedrabuena,31,98,75
NOA,Tucumán,Rapelli,96,86,Sin datos
NOA,Tucumán,Río Colorado,8,29,41
NOA,Tucumán,Rumi Punco,48,232,66
NOA,Tucumán,San Agustín,25,60,42
NOA,Tucumán,Tacanas,Sin datos,Sin datos,127
NOA,Tucumán,Taco Ralo,9,74,98
NOA,Tucumán,Timbo Viejo,55,1141,1270
NOA,Tucumán,Trancas,23,92,133
NOA,Tucumán,Viclos,9,Sin datos,Sin datos
NOA,Tucumán,Leales,104,220,848
NOA,Santiago del Estero,Bobadal,Sin datos,127,87
NOA,Santiago del Estero,El Charco,Sin datos,10,12
NOA,Santiago del Estero,El Mojón,Sin datos,Sin datos,Sin datos
NOA,Santiago del Estero,El Palomar,516,537,920
NOA,Santiago del Estero,Frias 2,5,239,187
NOA,Santiago del Estero,Frias,Trampa perdida,15,330
NOA,Santiago del Estero,Isca Yacu 1,67,251,597
NOA,Santiago del Estero,Isca Yacu 2,10,193,137
NOA,Santiago del Estero,Las Delicias,Sin datos,Sin datos,Sin datos
NOA,Santiago del Estero,Lavalle,Trampa perdida,36,62
NOA,Santiago del Estero,Nueva Esperanza,20,98,124
NOA,Santiago del Estero,Pampa Pozo,14,207,165
NOA,Santiago del Estero,Pozo de Bedert,10,105,Sin datos
NOA,Santiago del Estero,Pozo Hondo,15,57,42
NOA,Santiago del Estero,San Pedro de Guasayán,49,44,143
NOA,Santiago del Estero,Termas de Río Hondo,30,Sin datos,115
NOA,Santiago del Estero,Vinará,Sin datos,5,7
