Zona,Provincia,Localidad,Cant_01_01_26_al_16_01_26,Cant_17_01_26_al_31_01_26,Cant_01_02_26_al_16_02_26
Uruguay,,Mercedes,0,2,2
Uruguay,,Peñarol,0,Sin datos,Sin datos
Uruguay,,Los Arenales,Sin datos,Sin datos,3
Uruguay,,Nueva Helvecia,0,0,4
Uruguay,,Colonia,0,0,2
Uruguay,,Palmitas,0,0,0
Uruguay,,Durazno,Sin datos,1,0
Uruguay,,Young,1,12,16
Uruguay,,Young,Sin datos,13,Sin datos
NOA,Jujuy,EL Carmen,0,2,4
NOA,Jujuy,Fraile Pintado,0,0,2
NOA,Jujuy,Santa Clara,0,1,4
NOA,Jujuy,El Bananal,69,78,124
NOA,Salta,Agua Sucia,6,6,16
NOA,Salta,Rio Piedras,Trampa perdida,5,12
NOA,Salta,Rivadavia,6,Sin datos,11
NOA,Salta,Piquete Cabado 1,2,17,Sin datos
NOA,Salta,Antilla,1,1,3
NOA,Salta,Ballivián,Trampa perdida,0,0
NOA,Salta,Ceibalito,0,16,Sin datos
NOA,Salta,Copo Quiles,7,4,Sin datos
NOA,Salta,El Bordo,2,Sin datos,Sin datos
NOA,Salta,El Galpón,0,3,9
NOA,Salta,El Tunal,3,Trampa perdida,Sin datos
NOA,Salta,Embarcación,Trampa perdida,2,Sin datos
NOA,Salta,Gral Pizarro,0,0,11
NOA,Salta,Horcones,0,0,Sin datos
NOA,Salta,J V Gonzales,5,5,31
NOA,Salta,Las Lajitas T3,Sin datos,5,Sin datos
NOA,Salta,Metan 1,Sin datos,4,1
NOA,Salta,Metan 2,Sin datos,7,0
NOA,Salta,Mollinedo,1,0,38
NOA,Salta,Mosconi,0,0,5
NOA,Salta,Nstra Sra de Talavera,1,11,121
NOA,Salta,Pichanal,2,3,4
NOA,Salta,Piquete Cabado 2,1,0,Trampa perdida
NOA,Salta,Santo Domingo,0,3,44
NOA,Salta,Saravia,3,0,1
NOA,Salta,Tolloche,Trampa perdida,0,10
NOA,Salta,Urundel,Sin datos,2,Sin datos
NOA,Salta,Metán,0,11,20
NOA,Tucumán,Tusquita,0,0,110
NOA,Tucumán,Alto Verde,122,214,177
NOA,Tucumán,Burruyacu,0,0,6
NOA,Tucumán,Chilca,Trampa perdida,1,Sin datos
NOA,Tucumán,Garmendia,0,1,0
NOA,Tucumán,Huasa Pampa,4,13,18
NOA,Tucumán,La Bajada,3,6,6
NOA,Tucumán,La Cocha 1,5,5,7
NOA,Tucumán,La Cruz,1,14,Sin datos
NOA,Tucumán,La Invernada,2,0,40
NOA,Tucumán,La Virginia,3,2,39
NOA,Tucumán,Laguna de Robles,0,27,28
NOA,Tucumán,Las Cejas,16,5,14
NOA,Tucumán,Los Pereyra,0,1,1
