Región,Provincia,Localidad,Lectura_28_09_25_al_13_10_25,Lectura_14_10_25_al_29_10_25,Lectura_30_10_25_al_14_11_25
NOA,Jujuy,EL Carmen,0,0,0
NOA,Jujuy,Fraile Pintado,Sin datos,13,0
NOA,Jujuy,Santa Clara,0,2,2
NOA,Jujuy,El Bananal,67,111,16
NOA,Salta,Agua Sucia,,,1
NOA,Salta,Rio Piedras,,,2
NOA,Salta,Rivadavia,2,3,0
NOA,Salta,Piquete Cabado 1,0,1,0
NOA,Salta,Antilla,1,3,2
NOA,Salta,Ballivián,0,0,0
NOA,Salta,Ceibalito,0,0,0
NOA,Salta,Copo Quiles,4,0,0
NOA,Salta,El Bordo,0,0,0
NOA,Salta,El Galpón,8,0,5
NOA,Salta,El Tunal,3,3,Sin datos
NOA,Salta,Embarcación,0,0,0
NOA,Salta,Gral Pizarro,0,0,0
NOA,Salta,Horcones,0,0,0
NOA,Salta,J V Gonzales,0,0,6
NOA,Salta,Las Lajitas T3,0,2,1
NOA,Salta,Metan 1,Trampa perdida,0,0
NOA,Salta,Metan 2,4,8,1
NOA,Salta,Mollinedo,0,0,1
NOA,Salta,Mosconi,2,0,0
NOA,Salta,Nstra Sra de Talavera,0,7,0
NOA,Salta,Pichanal,0,0,0
NOA,Salta,Piquete Cabado 2,0,1,0
NOA,Salta,Santo Domingo,0,0,0
NOA,Salta,Saravia,0,0,0
NOA,Salta,Tolloche,1,1,0
NOA,Salta,Urundel,0,0,0
NOA,Salta,Metán,0,0,0
NOA,Tucumán,Alto Verde,139,62,95
NOA,Tucumán,Burruyacu,0,0,0
NOA,Tucumán,Chilca,1,0,Sin datos
NOA,Tucumán,Garmendia,0,0,0
NOA,Tucumán,Huasa Pampa,0,0,0
NOA,Tucumán,La Bajada,4,2,2
NOA,Tucumán,La Cocha 1,12,8,9
NOA,Tucumán,La Cruz,2,Trampa perdida,0
NOA,Tucumán,La Invernada,2,1,1
NOA,Tucumán,La Virginia,0,0,Sin datos
NOA,Tucumán,Laguna de Robles,3,4,0
NOA,Tucumán,Las Cejas,11,8,5
NOA,Tucumán,Los Pereyra,6,2,2
NOA,Tucumán,Los Puestos,0,0,Sin datos
NOA,Tucumán,Piedrabuena,0,0,Sin datos
NOA,Tucumán,Rapelli,5,1,0
NOA,Tucumán,Río Colorado,0,4,17
NOA,Tucumán,Rumi Punco,4,2,2
NOA,Tucumán,San Agustín,0,0,0
NOA,Tucumán,Tacanas,0,6,1
NOA,Tucumán,Taco Ralo,5,5,12
NOA,Tucumán,Timbo Viejo,3,0,72
NOA,Tucumán,Trancas,0,0,0
NOA,Tucumán,Sunchal,4,Sin datos,Sin datos
NOA,Tucumán,Viclos,1,1,1
NOA,Tucumán,Leales,0,0,1
NOA,Tucumán,Tusquita,,,0
NOA,Santiago del Estero,Bobadal,0,0,Sin datos
NOA,Santiago del Estero,El Charco,0,0,4
NOA,Santiago del Estero,El Palomar,0,0,0
NOA,Santiago del Estero,Frias,0,0,1
NOA,Santiago del Estero,Frias,0,0,0
NOA,Santiago del Estero,Isca Yacu 2,0,0,0
NOA,Santiago del Estero,Lavalle,0,0,Trampa perdida
NOA,Santiago del Estero,Nueva Esperanza,0,0,Sin datos
NOA,Santiago del Estero,Pampa Pozo,0,0,Sin datos
NOA,Santiago del Estero,Pozo Hondo,2,2,Sin datos
NOA,Santiago del Estero,San Pedro de Guasayán,2,,Sin datos
NOA,Santiago del Estero,Termas R. Hondo,1,0,0
NOA,Santiago del Estero,Vinará,3,3,0
NOA,Santiago del Estero,Termas de Río Hondo,0,0,0
NOA,Santiago del Estero,Fisco,1,0,Sin datos
NOA,Catamarca,El Abra,1,0,1
NOA,Catamarca,Los Altos,0,1,94
NOA,Catamarca,Frias,0,0,0
NEA,Formosa,El colorado,0,1,0
NEA,Formosa,Comandante Fontana,178,342,371
NEA,Formosa,Gral. M. Belgrano,Sin datos,Sin datos,0
NEA,Formosa,Perin,1,5,Sin datos
NEA,Formosa,Las Lomitas,7,55,113
NEA,Chaco,Tres Isletas,Trampa perdida,8,10
NEA,Chaco,Pampa del Infierno,0,0,0
NEA,Chaco,Concepcion del Bermejo (Estanislao),2,1,0
NEA,Chaco,Villa Angela,0,0,8
NEA,Chaco,Las Piedritas,3,0,1
NEA,Chaco,Gral. Pinedo,0,4,2
NEA,Chaco,Tres Isletas,26,11,2
NEA,Chaco,Pampa del Infierno,2,4,2
NEA,Chaco,Las Breñas,3,0,0
NEA,Chaco,Juan José Castelli,0,Trampa perdida,111
NEA,Chaco,Sylvina,0,Trampa perdida,0
NEA,Chaco,Basail,2,0,3
NEA,Chaco,Bajo Hondo,0,0,1
NEA,Chaco,Las Piedras,Sin datos,0,Sin datos
NEA,Chaco,San Bernardo,0,0,0
NEA,Chaco,Santa Teresa Capdevilla,0,1,3
NEA,Chaco,Palo blanco,0,1,1
NEA,Chaco,Pampa del Infierno,0,Sin datos,Sin datos
NEA,Chaco,Castelli,Sin datos,1,2
NEA,Chaco,El Tocon Bermejo,0,1,2
NEA,Chaco,Charata,0,0,0
NEA,Chaco,Gancedo,0,1,0
NEA,Chaco,Las Breñas,0,0,0
NEA,Chaco,La Montenegrina,0,0,0
NEA,Santiago del Estero,Weisburd,2,11,6
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Bandera,0,0,
NEA,Santiago del Estero,Arbol Blanco,0,1,2
NEA,Santiago del Estero,Los Juries,0,0,
NEA,Santiago del Estero,Roversi,0,0,0
NEA,Santiago del Estero,Tacañitas,2,0,1
NEA,Santiago del Estero,Sachayoj,11,1,0
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Santiago del Estero,Tierras del Oeste,0,0,0
NEA,Santiago del Estero,Weisburd,0,Sin datos,Sin datos
NEA,Santiago del Estero,Isla Baja,0,0,0
NEA,Santiago del Estero,Tomás Young,0,0,0
NEA,Santiago del Estero,Sachayoj,0,2,2
NEA,Santiago del Estero,Coronel Rico,0,0,0
NEA,Santiago del Estero,Quimilí,0,0,0
NEA,Santiago del Estero,Añatuya,,0,0
NEA,Santiago del Estero,Pampa de los Guanacos,2,0,0
NEA,Santiago del Estero,Málbran,,,0
NEA,Santiago del Estero,Colonia Alpina,Sin datos,0,0
NEA,Santiago del Estero,Cuatro Bocas,0,0,0
NEA,Santiago del Estero,Puna,0,0,1
NEA,Santiago del Estero,Campo del Cielo,1,Sin datos,2
NEA,Santiago del Estero,Lilo Viejo,0,0,0
NEA,Santiago del Estero,La Rosita,0,0,0
NEA,Santiago del Estero,Girardet,0,0,0
NEA,Santiago del Estero,Cejolao,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Santiago del Estero,San Pedro de Guasayán,2,Sin datos,Sin datos
NEA,Santiago del Estero,Casares,0,0,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,0,0,0
NEA,Santiago del Estero,Pozo de toba,0,0,0
NEA,Santa Fe,Villa Minetti,Trampa perdida,0,0
NEA,Santa Fe,El Guanagan,,,0
NEA,Santa Fe,Santa Margarina,,,0
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,Emilia,Sin datos,0,0
NEA,Santa Fe,Reconquista,0,0,0
NEA,Santa Fe,Calchaquí,0,0,0
NEA,Santa Fe,Logroño,0,0,0
NEA,Santa Fe,San javier,0,0,0
NEA,Santa Fe,La sarita,0,12,24
NEA,Santa Fe,La Pelada,0,0,0
NEA,Santa Fe,Ambrosetti,0,0,0
NEA,Santa Fe,La Penca y Caraguatá,0,0,1
NEA,Santa Fe,Ramayón,1,0,0
NEA,Santa Fe,Margarita,Sin datos,0,0
NEA,Santa Fe,Vera y Pintado,0,0,0
NEA,Santa Fe,La María,Sin datos,0,0
NEA,Santa Fe,La Osca,0,0,0
NEA,Santa Fe,Malabrigo,8,1,0
NEA,Santa Fe,Soledad,0,0,0
NEA,Santa Fe,Arroyo Ceibal,0,0,0
NEA,Santa Fe,Hersilia,Sin datos,0,0
NEA,Santa Fe,Colonia Esther,0,0,0
Litoral,Corrientes,Mercedes,0,1,6
Litoral,Corrientes,Ambrosio,1,0,0
Litoral,Corrientes,Corrientes,3,0,0
Litoral,Corrientes,Bella Vista,8,0,0
Litoral,Corrientes,Sauce,0,0,20
Litoral,Corrientes,Estancia el Rocio Copra,0,2,1
Litoral,Corrientes,Mercedes,0,3,0
Litoral,Corrientes,Virasoro,4,0,6
Litoral,Corrientes,Goya,0,0,3
Litoral,Corrientes,Curuzú,0,0,2
Litoral,Corrientes,Esquina,0,0,0
Litoral,Corrientes,Monte Caseros,,,5
Litoral,Entre Ríos,Don Cristobal,0,0,Sin datos
Litoral,Entre Ríos,Isletas,0,0,Sin datos
Litoral,Entre Ríos,San Salvador,,,1
Litoral,Entre Ríos,Hinojal,0,0,Sin datos
Litoral,Entre Ríos,Colonia Celina,0,0,0
Litoral,Entre Ríos,Viale,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,0,0,0
Litoral,Entre Ríos,Villa Hernandarias,0,0,0
Litoral,Entre Ríos,Don Cristobal,0,0,0
Litoral,Entre Ríos,Crespo,Trampa perdida,0,0
Litoral,Entre Ríos,Las Garzas,Trampa perdida,0,0
Litoral,Entre Ríos,Santa Elena,0,0,Sin datos
Litoral,Entre Ríos,La Paz,0,0,0
Litoral,Entre Ríos,Molino Doll,0,0,0
Litoral,Entre Ríos,Feliciano,0,0,0
Litoral,Entre Ríos,Gualeguaychu,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Victoria,0,0,Sin datos
Litoral,Entre Ríos,Arroyo Barú,0,0,Sin datos
Litoral,Entre Ríos,La Paz,0,0,1
Litoral,Entre Ríos,Nogoya,0,0,0
Litoral,Entre Ríos,Urdinarrain,0,0,0
Litoral,Entre Ríos,Concepción del Uruguay,0,0,0
Litoral,Entre Ríos,Diamante,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Parana,0,0,0
Litoral,Entre Ríos,Villa Mantero,,,0
Centro Norte,San Luis,La Toma,0,0,0
Centro Norte,Córdoba,Corralito,1,0,0
Centro Norte,Córdoba,Freyre,0,0,0
Centro Norte,Córdoba,Morteros,0,0,0
Centro Norte,Córdoba,Rayo Cortado,0,1,0
Centro Norte,Córdoba,Jesus María,2,0,0
Centro Norte,Córdoba,El Fortín,Trampa perdida,0,0
Centro Norte,Córdoba,Río Ceballos,2,2,0
Centro Norte,Córdoba,Villa María,0,0,0
Centro Norte,Córdoba,Cañada de Luque,0,0,0
Centro Norte,Córdoba,Capilla de Sitón,1,0,0
Centro Norte,Córdoba,Carrilobo,0,0,0
Centro Norte,Córdoba,Devoto,0,0,Sin datos
Centro Norte,Córdoba,Eufrasio Loza,0,0,Sin datos
Centro Norte,Córdoba,Laguna Larga,Trampa perdida,0,0
Centro Norte,Córdoba,Las Bajadas,0,2,Sin datos
Centro Norte,Córdoba,Monte del Rosario,0,0,0
Centro Norte,Córdoba,Montecristo,Trampa perdida,0,1
Centro Norte,Córdoba,Obispo trejo,Sin datos,0,0
Centro Norte,Córdoba,Río Segundo-T1,0,0,0
Centro Norte,Córdoba,San Francisco,1,0,0
