Zona,Provincia,Localidad,Cant_12_08_25_al_25_08_25,Cant_26_08_25_al_11_09_25,Cant_12_09_25_al_27_09_25
Uruguay,,La Loma,0,0,0
Uruguay,,El Desafío,0,0,0
Uruguay,,Nahuel Cimarelli,Sin datos,1,1
Uruguay,,Estancia Gaucho - Los Alamos,Sin datos,3,0
Uruguay,,Estancia Gaucho - Rivera,0,0,0
Uruguay,,Chacra Nelson,Sin datos,0,0
Uruguay,,Reina Juana,6,Sin datos,0
Uruguay,,Colonia,Sin datos,0,0
NOA,Jujuy,EL Carmen,5,0,3
NOA,Jujuy,Fraile Pintado,7,3,8
NOA,Jujuy,Santa Clara,7,2,1
NOA,Jujuy,El Bananal,16,31,30
NOA,Salta,Rivadavia,186,Trampa perdida,2
NOA,Salta,Piquete Cabado 1,5,103,Sin datos
NOA,Salta,Antilla,13,2,5
NOA,Salta,Ballivián,0,33,0
NOA,Salta,Ceibalito,13,1,1
NOA,Salta,Chaguaral,Sin datos,Sin datos,Sin datos
NOA,Salta,Copo Quiles,676,133,5
NOA,Salta,El Bordo,0,4,0
NOA,Salta,El Galpón,47,13,17
NOA,Salta,El Tunal,10,4,Sin datos
NOA,Salta,Embarcación,15,2,2
NOA,Salta,Gral Pizarro,25,3,2
NOA,Salta,Horcones,27,5,Sin datos
NOA,Salta,J V Gonzales,44,0,0
NOA,Salta,Las Lajitas T3,4,2,5
NOA,Salta,Metan 1,0,1,0
NOA,Salta,Metan 2,45,33,19
NOA,Salta,Mollinedo,8,24,4
NOA,Salta,Mosconi,4,11,3
NOA,Salta,Nstra Sra de Talavera,39,12,8
NOA,Salta,Pichanal,70,0,0
NOA,Salta,Piquete Cabado 2,0,11,0
NOA,Salta,Santo Domingo,2,33,1
NOA,Salta,Saravia,0,3,0
NOA,Salta,Tolloche,0,0,3
NOA,Salta,Urundel,30,1,2
NOA,Salta,Metán,19,16,0
NOA,Tucumán,Acequiones,Sin datos,Sin datos,Sin datos
NOA,Tucumán,Alto Verde,3,1,44
NOA,Tucumán,Burruyacu,4,1,1
NOA,Tucumán,Chilca,44,23,Sin datos
NOA,Tucumán,Garmendia,9,3,1
NOA,Tucumán,Huasa Pampa,10,0,1
NOA,Tucumán,La Bajada,6,4,4
NOA,Tucumán,La Cocha 1,43,27,19
NOA,Tucumán,La Cruz,75,52,15
NOA,Tucumán,La Invernada,62,8,1
NOA,Tucumán,La Virginia,15,25,1
NOA,Tucumán,Laguna de Robles,79,Sin datos,1
NOA,Tucumán,Las Cejas,76,40,1
NOA,Tucumán,Los Pereyra,1,Sin datos,4
NOA,Tucumán,Los Puestos,5,0,0
NOA,Tucumán,Piedrabuena,3,3,0
NOA,Tucumán,Rapelli,23,7,6
NOA,Tucumán,Río Colorado,8,6,2
NOA,Tucumán,Rumi Punco,30,8,6
NOA,Tucumán,San Agustín,15,1,0
NOA,Tucumán,Tacanas,12,5,8
NOA,Tucumán,Taco Ralo,8,12,9
NOA,Tucumán,Timbo Viejo,88,150,8
NOA,Tucumán,Trancas,5,6,Sin datos
NOA,Tucumán,Viclos,59,9,1
NOA,Tucumán,Leales,5,5,1
NOA,Santiago del Estero,Bobadal,2,4,0
NOA,Santiago del Estero,El Charco,7,9,6
NOA,Santiago del Estero,El Palomar,4,0,0
NOA,Santiago del Estero,Frias 2,1,1,0
NOA,Santiago del Estero,Frias,3,0,0
NOA,Santiago del Estero,Isca Yacu 2,5,3,Sin datos
NOA,Santiago del Estero,Lavalle,1,1,0
NOA,Santiago del Estero,Nueva Esperanza,Sin datos,2,4
NOA,Santiago del Estero,Pampa Pozo,1,1,Sin datos
NOA,Santiago del Estero,Pozo de Bedert,Sin datos,Sin datos,Sin datos
NOA,Santiago del Estero,Pozo Hondo,Sin datos,2,3
NOA,Santiago del Estero,San Pedro de Guasayán,26,9,35
NOA,Santiago del Estero,Termas R. Hondo,Sin datos,2,0
NOA,Santiago del Estero,Vinará,36,3,Sin datos
NOA,Santiago del Estero,Termas de Río Hondo,Sin datos,0,0
NOA,Catamarca,El Abra,38,0,3
NOA,Catamarca,Los Altos,17,0,0
NEA,Formosa,El colorado,14,0,2
NEA,Formosa,Comandante Fontana,Trampa perdida,426,181
NEA,Chaco,Tres Isletas,180,Trampa perdida,6
NEA,Chaco,Pampa del Infierno,10,5,0
NEA,Chaco,Concepcion del Bermejo (Estanislao),Trampa perdida,19,3
NEA,Chaco,Villa Angela,4,Trampa perdida,0
NEA,Chaco,Las Piedritas,2,2,4
NEA,Formosa,Gral. M. Belgrano,Sin datos,Sin datos,4
NEA,Chaco,Gral. Pinedo,8,1,2
NEA,Chaco,Tres Isletas,2,1,11
NEA,Chaco,Pampa del Infierno,0,0,0
NEA,Chaco,Las Breñas,1,1,0
NEA,Chaco,Juan José Castelli,6,1,0
NEA,Chaco,Sylvina,0,0,0
NEA,Chaco,Basail,15,Trampa perdida,2
NEA,Santiago del Estero,Weisburd,2,1,0
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Bandera,Sin datos,0,0
NEA,Santiago del Estero,Arbol Blanco,Sin datos,0,11
NEA,Santiago del Estero,Los Juries,15,1,0
NEA,Santiago del Estero,Roversi,1,1,1
NEA,Santiago del Estero,Tacañitas,0,0,0
NEA,Santiago del Estero,Sachayoj,6,8,6
NEA,Santiago del Estero,Campo Gallo,0,2,0
NEA,Chaco,Bajo Hondo,Sin datos,0,0
NEA,Chaco,Las Piedras,Sin datos,Sin datos,4
