Zona,Provincia/Pais,Localidad,Lectura_24_01_25_al_07_02_25,Lectura_08_02_25_al_23_02_25,Lectura_24_02_25_al_13_03_25
NOA,Jujuy,Palpala,95,76,Sin datos
NOA,Jujuy,EL Carmen,3,0,5
NOA,Jujuy,Fraile Pintado,4,7,9
NOA,Jujuy,Santa Clara,2,0,4
NOA,Jujuy,El Bananal,0,0,0
NOA,Salta,Rio Piedras,Sin datos,112,240
NOA,Salta,Macapillo,Sin datos,159,Sin datos
NOA,Salta,Güemes,17,Trampa perdida,200
NOA,Salta,Rivadavia,4,222,9
NOA,Salta,Piquete Cabado 1,6,44,50
NOA,Salta,Antilla,1,1,32
NOA,Salta,Ballivián,0,0,15
NOA,Salta,Ceibalito,23,36,24
NOA,Salta,Chaguaral,0,0,0
NOA,Salta,Copo Quiles,0,0,47
NOA,Salta,El Bordo,0,0,0
NOA,Salta,El Galpón,21,58,75
NOA,Salta,El Tunal,1,4,41
NOA,Salta,Embarcación,12,6,20
NOA,Salta,Gral Pizarro,0,0,7
NOA,Salta,Horcones,5,Sin datos,30
NOA,Salta,J V Gonzales,0,3,89
NOA,Salta,Las Lajitas (este),4,Sin datos,Sin datos
NOA,Salta,Las Lajitas T3,0,0,12
NOA,Salta,Metan 1,0,0,0
NOA,Salta,Metan 2,0,17,375
NOA,Salta,Mollinedo,8,6,153
NOA,Salta,Mosconi,3,5,Trampa perdida
NOA,Salta,Nstra Sra de Talavera,Trampa perdida,0,Trampa perdida
NOA,Salta,Pichanal,5,5,Trampa perdida
NOA,Salta,Piquete Cabado 2,6,6,25
NOA,Salta,Rosario de la Frontera,1,Sin datos,18
NOA,Salta,Santo Domingo,4,6,23
NOA,Salta,Saravia,Trampa perdida,0,3
NOA,Salta,Tolloche,Trampa perdida,48,266
NOA,Salta,Urundel,4,5,Trampa perdida
NOA,Salta,Metán,23,23,63
NOA,Tucumán,Taco Ralo,Trampa perdida,Sin datos,Sin datos
NOA,Tucumán,Acequiones,7,18,23
NOA,Tucumán,Alto Verde,141,26,47
NOA,Tucumán,Burruyacu,0,1,1
NOA,Tucumán,Chilca,8,60,25
NOA,Tucumán,Garmendia,0,2,158
NOA,Tucumán,Huasa Pampa,0,1,3
NOA,Tucumán,La Bajada,2,4,Sin datos
NOA,Tucumán,La Cocha 1,12,10,52
NOA,Tucumán,La Cruz,3,12,148
NOA,Tucumán,La Invernada,20,4,19
NOA,Tucumán,La Virginia,1,5,31
NOA,Tucumán,Laguna de Robles,0,Trampa perdida,59
NOA,Tucumán,Las Cejas,13,94,447
NOA,Tucumán,Los Pereyra,0,Trampa perdida,0
NOA,Tucumán,Los Puestos,0,0,3
NOA,Tucumán,Piedrabuena,0,17,31
NOA,Tucumán,Rapelli,0,10,96
NOA,Tucumán,Río Colorado,11,25,8
NOA,Tucumán,Rumi Punco,2,5,48
NOA,Tucumán,San Agustín,4,5,25
NOA,Tucumán,Tacanas,2,2,Sin datos
NOA,Tucumán,Taco Ralo,3,15,9
NOA,Tucumán,Timbo Viejo,4,88,55
NOA,Tucumán,Trancas,3,8,23
NOA,Tucumán,Viclos,2,2,9
NOA,Tucumán,Leales,0,79,104
NOA,Santiago del Estero,Bobadal,0,16,Sin datos
NOA,Santiago del Estero,El Charco,Trampa perdida,2,Sin datos
NOA,Santiago del Estero,El Mojón,3,Sin datos,Sin datos
NOA,Santiago del Estero,El Palomar,8,23,516
NOA,Santiago del Estero,Frias 2,5,6,5
NOA,Santiago del Estero,Frias,5,14,Trampa perdida
NOA,Santiago del Estero,Isca Yacu 1,6,46,67
NOA,Santiago del Estero,Isca Yacu 2,21,4,10
NOA,Santiago del Estero,Las Delicias,0,Sin datos,Sin datos
NOA,Santiago del Estero,Lavalle,0,2,Trampa perdida
NOA,Santiago del Estero,Nueva Esperanza,3,2,20
NOA,Santiago del Estero,Pampa Pozo,1,2,14
NOA,Santiago del Estero,Pozo de Bedert,0,Sin datos,10
NOA,Santiago del Estero,Pozo Hondo,0,1,15
NOA,Santiago del Estero,San Pedro de Guasayán,5,10,49
NOA,Santiago del Estero,Termas de Río Hondo,4,Sin datos,30
NOA,Santiago del Estero,Vinará,2,2,Sin datos
NOA,Catamarca,El Abra,2,8,146
NOA,Catamarca,Los Altos,2,3,0
NEA,Formosa,Las Lomitas,0,0,Sin datos
NEA,Formosa,Perin,3,2,Sin datos
NEA,Formosa,El colorado,15,0,6
NEA,Formosa,Comandante Fontana,0,Trampa perdida,0
NEA,Chaco,Tres Isletas,10,Sin datos,9
NEA,Chaco,Pampa del Infierno,2,11,0
NEA,Chaco,Concepcion del Bermejo (Estanislao),0,6,19
NEA,Chaco,Don Luciano (C. del Bermejo),4,6,5
NEA,Chaco,Las Piedritas,0,0,0
NEA,Chaco,Los Frentones,1,0,4
NEA,Chaco,Juan José Castelli,1,5,32
NEA,Chaco,El Timbo Pampa,3,4,19
NEA,Chaco,El Tocon Bermejo,4,0,0
NEA,Chaco,Las Breñas,0,1,0
NEA,Chaco,Santa Teresa Capdevilla,9,12,45
NEA,Chaco,Pampa Cejas,1,0,1
NEA,Chaco,3 Retoños,4,4,Sin datos
NEA,Chaco,Quitilipi,0,0,Sin datos
NEA,Chaco,Pampa del Infierno,Sin datos,11,Sin datos
NEA,Chaco,PampaToloza,Sin datos,Sin datos,Sin datos
NEA,Chaco,Kempe,0,0,0
NEA,Chaco,Gancedo,Sin datos,Sin datos,Sin datos
NEA,Chaco,Gral. Pinedo,0,1,Sin datos
NEA,Chaco,Tres Isletas,2,Sin datos,Sin datos
NEA,Chaco,Los frentones,Sin datos,0,Sin datos
NEA,Chaco,Pampa del Infierno,0,0,1
NEA,Chaco,Las Breñas,3,3,7
NEA,Chaco,Juan José Castelli,11,0,7
