Zona,Provincia/Pais,Localidad,Lectura_12_09_25_al_27_09_25,Lectura_28_09_25_al_13_10_25,Lectura_14_10_25_al_29_10_25
Uruguay,Uruguay,Mercedes,0,0,0
Uruguay,Uruguay,Peñarol,0,0,0
Uruguay,Uruguay,Los Arenales,0,0,0
Uruguay,Uruguay,Nueva Helvecia,0,0,0
Uruguay,Uruguay,Colonia,0,0,0
Uruguay,Uruguay,Palmitas,0,0,0
NOA,Jujuy,EL Carmen,0,3,0
NOA,Jujuy,Fraile Pintado,8,13,Sin datos
NOA,Jujuy,Santa Clara,1,2,0
NOA,Jujuy,El Bananal,30,67,111
NOA,Salta,Rivadavia,2,2,3
NOA,Salta,Piquete Cabado 1,1,0,Sin datos
NOA,Salta,Antilla,5,3,1
NOA,Salta,Ballivián,0,0,0
NOA,Salta,Ceibalito,1,0,0
NOA,Salta,Copo Quiles,5,4,0
NOA,Salta,El Bordo,0,0,0
NOA,Salta,El Galpón,17,0,8
NOA,Salta,El Tunal,2,3,3
NOA,Salta,Embarcación,0,2,0
NOA,Salta,Gral Pizarro,0,2,0
NOA,Salta,Horcones,0,0,0
NOA,Salta,J V Gonzales,0,0,0
NOA,Salta,Las Lajitas T3,5,2,0
NOA,Salta,Metan 1,Trampa perdida,0,0
NOA,Salta,Metan 2,19,4,8
NOA,Salta,Mollinedo,4,0,0
NOA,Salta,Mosconi,3,2,0
NOA,Salta,Nstra Sra de Talavera,8,0,7
NOA,Salta,Pichanal,0,0,0
NOA,Salta,Piquete Cabado 2,0,0,0
NOA,Salta,Santo Domingo,1,1,0
NOA,Salta,Saravia,0,0,0
NOA,Salta,Tolloche,3,1,1
NOA,Salta,Urundel,2,0,0
NOA,Salta,Metán,0,0,0
NOA,Tucumán,Alto Verde,44,139,62
NOA,Tucumán,Burruyacu,1,0,0
NOA,Tucumán,Chilca,5,1,0
NOA,Tucumán,Garmendia,1,0,Sin datos
NOA,Tucumán,Huasa Pampa,1,0,0
NOA,Tucumán,La Bajada,4,4,2
NOA,Tucumán,La Cocha 1,19,12,8
NOA,Tucumán,La Cruz,15,2,Trampa perdida
NOA,Tucumán,La Invernada,1,2,1
NOA,Tucumán,La Virginia,1,0,0
NOA,Tucumán,Laguna de Robles,1,3,4
NOA,Tucumán,Las Cejas,12,11,8
NOA,Tucumán,Los Pereyra,4,6,2
NOA,Tucumán,Los Puestos,0,0,0
NOA,Tucumán,Piedrabuena,0,0,0
NOA,Tucumán,Rapelli,6,5,1
NOA,Tucumán,Río Colorado,2,0,4
NOA,Tucumán,Rumi Punco,6,4,2
NOA,Tucumán,San Agustín,0,0,0
NOA,Tucumán,Tacanas,8,0,6
NOA,Tucumán,Taco Ralo,9,5,5
NOA,Tucumán,Timbo Viejo,8,3,0
NOA,Tucumán,Trancas,0,0,0
NOA,Tucumán,Sunchal,9,4,Sin datos
NOA,Tucumán,Viclos,1,1,1
NOA,Tucumán,Leales,1,0,0
NOA,Santiago del Estero,Bobadal,0,0,0
NOA,Santiago del Estero,El Charco,6,0,0
NOA,Santiago del Estero,El Palomar,0,0,0
NOA,Santiago del Estero,Frias 2,0,0,0
NOA,Santiago del Estero,Frias,0,0,0
NOA,Santiago del Estero,Isca Yacu 2,0,0,0
NOA,Santiago del Estero,Lavalle,0,0,0
NOA,Santiago del Estero,Nueva Esperanza,4,0,0
NOA,Santiago del Estero,Pampa Pozo,0,0,0
NOA,Santiago del Estero,Pozo Hondo,3,2,2
NOA,Santiago del Estero,San Pedro de Guasayán,35,2,Sin datos
NOA,Santiago del Estero,Termas R. Hondo,0,1,0
NOA,Santiago del Estero,Vinará,1,3,3
NOA,Santiago del Estero,Termas de Río Hondo,0,0,0
NOA,Santiago del Estero,Fisco,2,1,0
NOA,Catamarca,El Abra,3,1,0
NOA,Catamarca,Los Altos,0,0,1
NOA,Catamarca,Frias,1,0,0
NEA,Formosa,El colorado,2,0,1
NEA,Formosa,Comandante Fontana,181,178,342
NEA,Chaco,Tres Isletas,6,Trampa perdida,8
NEA,Chaco,Pampa del Infierno,0,0,0
NEA,Chaco,Concepcion del Bermejo (Estanislao),3,2,1
NEA,Chaco,Villa Angela,0,0,0
NEA,Chaco,Las Piedritas,4,3,0
NEA,Formosa,Gral. M. Belgrano,4,Sin datos,Sin datos
NEA,Chaco,Gral. Pinedo,2,0,4
NEA,Chaco,Tres Isletas,11,26,11
NEA,Chaco,Pampa del Infierno,0,2,4
NEA,Chaco,Las Breñas,Trampa perdida,3,0
NEA,Chaco,Juan José Castelli,0,0,3
NEA,Chaco,Sylvina,0,0,Trampa perdida
NEA,Chaco,Basail,2,2,0
NEA,Santiago del Estero,Weisburd,0,2,11
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Arbol Blanco,11,0,1
NEA,Santiago del Estero,Los Juries,0,0,0
NEA,Santiago del Estero,Roversi,1,0,0
NEA,Santiago del Estero,Tacañitas,0,2,0
NEA,Santiago del Estero,Sachayoj,6,11,1
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Chaco,Bajo Hondo,0,0,0
NEA,Chaco,Las Piedras,4,Sin datos,0
NEA,Santiago del Estero,Tierras del Oeste,0,0,0
NEA,Santiago del Estero,Weisburd,Sin datos,0,Sin datos
NEA,Santiago del Estero,Isla Baja,0,0,0
NEA,Santiago del Estero,Tomás Young,0,0,0
NEA,Santiago del Estero,Sachayoj,0,0,2
NEA,Santiago del Estero,Coronel Rico,0,0,0
NEA,Santiago del Estero,Quimilí,0,0,0
NEA,Santiago del Estero,Añatuya,Sin datos,Sin datos,0
NEA,Santiago del Estero,Pampa de los Guanacos,3,2,0
NEA,Santa Fe,Villa Minetti,0,Trampa perdida,0
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,Emilia,Trampa perdida,Sin datos,0
NEA,Santa Fe,Reconquista,3,0,0
NEA,Santa Fe,Calchaquí,0,0,0
NEA,Santa Fe,Logroño,0,0,0
NEA,Santa Fe,San javier,0,0,0
NEA,Santa Fe,La sarita,4,0,12
NEA,Santa Fe,La Pelada,0,0,0
NEA,Santa Fe,Ambrosetti,0,0,0
NEA,Santa Fe,La Penca y Caraguatá,1,0,0
NEA,Santa Fe,Ramayón,0,1,0
NEA,Santa Fe,Margarita,0,Sin datos,0
NEA,Santa Fe,Vera y Pintado,0,0,0
NEA,Santa Fe,La María,0,Sin datos,0
NEA,Santa Fe,La Osca,0,0,0
NEA,Santa Fe,Malabrigo,0,8,1
NEA,Santa Fe,Soledad,0,0,0
NEA,Santiago del Estero,Colonia Alpina,0,Sin datos,0
NEA,Chaco,San Bernardo,Trampa perdida,0,0
NEA,Santa Fe,Colonia Esther,0,0,0
NEA,Chaco,La Montenegrina,3,0,0
NEA,Santiago del Estero,Cuatro Bocas,0,0,Sin datos
NEA,Santiago del Estero,Puna,2,0,0
NEA,Formosa,Perin,5,1,5
NEA,Santiago del Estero,Campo del Cielo,0,1,Sin datos
NEA,Santiago del Estero,Lilo Viejo,0,0,0
NEA,Chaco,Santa Teresa Capdevilla,0,0,Sin datos
NEA,Chaco,Palo blanco,0,0,Sin datos
NEA,Chaco,Pampa del Infierno,Sin datos,0,Sin datos
NEA,Chaco,Castelli,0,Sin datos,Sin datos
NEA,Chaco,El Tocon Bermejo,0,0,Sin datos
NEA,Chaco,Charata,0,0,0
NEA,Santiago del Estero,La Rosita,0,0,0
NEA,Chaco,Gancedo,0,0,1
NEA,Chaco,Las Breñas,0,0,0
NEA,Santiago del Estero,Girardet,0,0,0
NEA,Santiago del Estero,Cejolao,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Formosa,Las Lomitas,5,7,55
