Zona,Provincia/Pais,Localidad,Lectura_16_12_25_al_31_12_25,Lectura_01_01_26_al_16_01_26,Lectura_17_01_26_al_31_01_26
Uruguay,Uruguay,Mercedes,0,0,2
Uruguay,Uruguay,Peñarol,Sin datos,0,Sin datos
Uruguay,Uruguay,Los Arenales,Sin datos,Sin datos,Sin datos
Uruguay,Uruguay,Nueva Helvecia,0,0,0
Uruguay,Uruguay,Colonia,0,0,0
Uruguay,Uruguay,Palmitas,0,0,0
Uruguay,Uruguay,Durazno,0,Sin datos,1
Uruguay,Uruguay,Young,Sin datos,1,12
Uruguay,Uruguay,Young,Sin datos,Sin datos,13
NOA,Jujuy,EL Carmen,0,0,2
NOA,Jujuy,Fraile Pintado,0,0,0
NOA,Jujuy,Santa Clara,0,0,1
NOA,Jujuy,El Bananal,2,69,78
NOA,Salta,Agua Sucia,4,6,6
NOA,Salta,Rio Piedras,2,Trampa perdida,5
NOA,Salta,Rivadavia,Trampa perdida,6,Sin datos
NOA,Salta,Piquete Cabado 1,12,2,17
NOA,Salta,Antilla,2,1,1
NOA,Salta,Ballivián,0,Trampa perdida,0
NOA,Salta,Ceibalito,0,0,16
NOA,Salta,Copo Quiles,0,7,4
NOA,Salta,El Bordo,0,2,Sin datos
NOA,Salta,El Galpón,8,0,3
NOA,Salta,El Tunal,7,3,Trampa perdida
NOA,Salta,Embarcación,0,Trampa perdida,2
NOA,Salta,Gral Pizarro,0,0,0
NOA,Salta,Horcones,0,0,0
NOA,Salta,J V Gonzales,0,5,5
NOA,Salta,Las Lajitas T3,1,Sin datos,5
NOA,Salta,Metan 1,0,Sin datos,4
NOA,Salta,Metan 2,1,Sin datos,7
NOA,Salta,Mollinedo,1,1,0
NOA,Salta,Mosconi,0,0,0
NOA,Salta,Nstra Sra de Talavera,0,1,11
NOA,Salta,Pichanal,0,2,3
NOA,Salta,Piquete Cabado 2,2,1,0
NOA,Salta,Santo Domingo,0,0,3
NOA,Salta,Saravia,1,3,0
NOA,Salta,Tolloche,1,Trampa perdida,0
NOA,Salta,Urundel,0,Sin datos,2
NOA,Salta,Metán,0,0,11
NOA,Tucumán,Tusquita,0,0,0
NOA,Tucumán,Alto Verde,244,122,214
NOA,Tucumán,Burruyacu,0,0,0
NOA,Tucumán,Chilca,2,Trampa perdida,1
NOA,Tucumán,Garmendia,0,0,1
NOA,Tucumán,Huasa Pampa,2,4,13
NOA,Tucumán,La Bajada,2,3,6
NOA,Tucumán,La Cocha 1,5,5,5
NOA,Tucumán,La Cruz,0,1,14
NOA,Tucumán,La Invernada,0,2,0
NOA,Tucumán,La Virginia,0,3,2
NOA,Tucumán,Laguna de Robles,0,0,27
NOA,Tucumán,Las Cejas,0,16,5
NOA,Tucumán,Los Pereyra,0,0,1
NOA,Tucumán,Los Puestos,0,3,0
NOA,Tucumán,Piedrabuena,0,0,0
NOA,Tucumán,Rapelli,0,0,0
NOA,Tucumán,Río Colorado,8,1,1
NOA,Tucumán,Rumi Punco,1,7,4
NOA,Tucumán,San Agustín,1,7,4
NOA,Tucumán,Tacanas,0,0,2
NOA,Tucumán,Taco Ralo,5,10,38
NOA,Tucumán,Timbo Viejo,18,148,50
NOA,Tucumán,Trancas,1,1,1
NOA,Tucumán,Viclos,2,1,2
NOA,Tucumán,Leales,0,0,Trampa perdida
NOA,Tucumán,Tala Pozo,Trampa perdida,16,20
NOA,Santiago del Estero,Bobadal,0,0,0
NOA,Santiago del Estero,El Charco,20,5,Trampa perdida
NOA,Santiago del Estero,El Palomar,Trampa perdida,4,Trampa perdida
NOA,Santiago del Estero,Frias,1,0,5
NOA,Santiago del Estero,Isca Yacu 2,0,1,0
NOA,Santiago del Estero,Pampa Pozo,1,1,1
NOA,Santiago del Estero,Pozo Hondo,0,0,1
NOA,Santiago del Estero,San Pedro de Guasayán,1,1,4
NOA,Santiago del Estero,Termas R. Hondo,0,1,9
NOA,Santiago del Estero,Vinará,3,3,1
NOA,Santiago del Estero,Termas de Río Hondo,0,1,Trampa perdida
NOA,Catamarca,El Abra,2,9,Trampa perdida
NOA,Catamarca,Los Altos,38,65,322
NOA,Catamarca,Frias,6,10,4
NEA,Chaco,Tres Isletas,15,35,Sin datos
NEA,Chaco,Pampa del Infierno,Trampa perdida,8,26
NEA,Chaco,Concepcion del Bermejo,Sin datos,7,12
NEA,Chaco,Villa Angela,28,25,Trampa perdida
NEA,Chaco,Las Piedritas,0,0,13
NEA,Chaco,Gral. Pinedo,9,4,0
NEA,Chaco,Tres Isletas,4,12,26
NEA,Chaco,Pampa del Infierno,10,7,2
NEA,Chaco,Las Breñas,9,28,12
NEA,Chaco,Juan José Castelli,32,35,3
NEA,Chaco,Sylvina,1,0,0
NEA,Chaco,Basail,4,5,2
NEA,Chaco,Bajo Hondo,83,14,Sin datos
NEA,Chaco,Las Piedras,0,0,4
NEA,Chaco,San Bernardo,0,1,1
NEA,Chaco,La Montenegrina,1,2,1
NEA,Chaco,Santa Teresa Capdevilla,0,17,49
NEA,Chaco,Palo blanco,5,9,30
NEA,Chaco,Pampa del Infierno,147,14,8
NEA,Chaco,Castelli,54,20,0
NEA,Chaco,El Tocon Bermejo,54,20,3
NEA,Chaco,Charata,0,Sin datos,0
NEA,Chaco,Gancedo,0,Sin datos,3
NEA,Chaco,Las Breñas,0,Sin datos,4
