Zona,Provincia/Pais,Localidad,Lectura_15_07_24_al_02_08_24,Lectura_02_08_24_al_17_08_24,Lectura_18_08_24_al_03_09_24
NOA,Jujuy,Palpala,147,77,9
NOA,Jujuy,EL Carmen,,186,31
NOA,Jujuy,Fraile Pintado,,7,9
NOA,Jujuy,Santa Clara,,11,11
NOA,Salta,Rio Piedras,,120,25
NOA,Salta,Macapillo,,,15
NOA,Salta,Güemes,37,11,12
NOA,Salta,Rivadavia,20,8,4
NOA,Salta,Antilla,37,5,3
NOA,Salta,Ballivián,161,16,1
NOA,Salta,Ceibalito,30,11,6
NOA,Salta,Chaguaral,27,0,0
NOA,Salta,Copo Quiles,139,17,4
NOA,Salta,El Bordo,25,3,1
NOA,Salta,El Galpón,122,51,21
NOA,Salta,El Tunal,,,0
NOA,Salta,Embarcación,367,44,7
NOA,Salta,Gral Pizarro,205,5,1
NOA,Salta,Horcones,,,6
NOA,Salta,J V Gonzales,55,7,1
NOA,Salta,Las Lajitas (este),335,43,8
NOA,Salta,Las Lajitas T3,25,0,1
NOA,Salta,Metan 1,165,4,0
NOA,Salta,Metan 2,6,2,4
NOA,Salta,Mollinedo,161,21,4
NOA,Salta,Mosconi,,26,7
NOA,Salta,Nstra Sra de Talavera,8,0,4
NOA,Salta,Pichanal,117,23,5
NOA,Salta,Piquete Cabado 1,,49,6
NOA,Salta,Piquete Cabado 2,226,67,6
NOA,Salta,Rosario de la Frontera,15,1,1
NOA,Salta,Santo Domingo,,120,10
NOA,Salta,Saravia,49,12,3
NOA,Salta,Tolloche,25,4,1
NOA,Salta,Urundel,29,12,1
NOA,Tucumán,Acequiones,10,5,0
NOA,Tucumán,Alto Verde,,0,0
NOA,Tucumán,Burruyacu,367,120,20
NOA,Tucumán,Chilca,221,52,46
NOA,Tucumán,Garmendia,190,26,4
NOA,Tucumán,Huasa Pampa,37,14,2
NOA,Tucumán,La Bajada,18,15,3
NOA,Tucumán,La Cocha 1,14,11,Trampa perdida
NOA,Tucumán,La Cruz,284,96,20
NOA,Tucumán,La Invernada,35,15,5
NOA,Tucumán,La Virginia,353,224,181
NOA,Tucumán,Laguna de Robles,163,25,14
NOA,Tucumán,Las Cejas,86,30,20
NOA,Tucumán,Los Pereyra,90,7,6
NOA,Tucumán,Los Puestos,88,42,8
NOA,Tucumán,Piedrabuena,569,103,14
NOA,Tucumán,Rapelli,466,89,41
NOA,Tucumán,Río Colorado,286,138,16
NOA,Tucumán,Rumi Punco,22,6,2
NOA,Tucumán,San Agustín,188,166,33
NOA,Tucumán,Tacanas,50,10,0
NOA,Tucumán,Taco Ralo,9,4,4
NOA,Tucumán,Timbo Viejo,105,45,7
NOA,Tucumán,Trancas,8,0,0
NOA,Tucumán,Viclos,6,2,2
NOA,Santiago del Estero,Bobadal,157,47,8
NOA,Santiago del Estero,El Charco,7,7,0
NOA,Santiago del Estero,El Mojón,,16,18
NOA,Santiago del Estero,El Palomar,549,272,111
NOA,Santiago del Estero,Frías,,7,3
NOA,Santiago del Estero,Isca Yacu 1,44,6,38
NOA,Santiago del Estero,Isca Yacu 2,,2,0
NOA,Santiago del Estero,Las Delicias,,3,1
NOA,Santiago del Estero,Lavalle,,1,0
NOA,Santiago del Estero,Nueva Esperanza,2,1,0
NOA,Santiago del Estero,Pampa Pozo,870,192,174
NOA,Santiago del Estero,Pozo de Bedert,29,4,9
NOA,Santiago del Estero,Pozo Hondo,86,4,0
NOA,Santiago del Estero,San Pedro de Guasayán,9,11,4
NOA,Santiago del Estero,Temas de Río Hondo,25,7,3
NOA,Santiago del Estero,Vinará,127,14,7
NOA,Catamarca,El Abra,27,6,0
NOA,Catamarca,Los Altos,,10,3
NEA,Formosa,Campo del Cielo,,0,0
NEA,Chaco,Tres Isletas,5,4,0
NEA,Chaco,Pampa del Infierno,20,3,2
NEA,Chaco,Concepcion del Bermejo,,1,0
NEA,Chaco,Campo Gallo,,29,1
NEA,Chaco,Los Frentones,,4,0
NEA,Chaco,Castelli,,1,0
NEA,Chaco,El Timbo Pampa,,1,0
NEA,Chaco,El tocon Bermejo,,6,0
NEA,Chaco,Las Breñas,,,2
NEA,Chaco,Santa Teresa Capdevilla,,1,0
NEA,Chaco,Pampa cejas,,0,0
NEA,Chaco,3 retoños,,,6
NEA,Chaco,Kempe,,,2
NEA,Chaco,Pampa del Infierno,,,3
NEA,Chaco,Pampa de los guanacos,,,0
NEA,Chaco,Las Breñas,,,0
NEA,Chaco,Juan José Castelli,,,1
NEA,Chaco,Gancedo,,,0
NEA,Chaco,,,,0
NEA,Santiago del Estero,Weisburd,,0,2
NEA,Santiago del Estero,Bandera,1,5,0
NEA,Santiago del Estero,Bandera,,,0
NEA,Santiago del Estero,Arbol Blanco,,0,0
NEA,Santiago del Estero,Los Juries,3,2,0
NEA,Santiago del Estero,Roversi,0,1,0
NEA,Santiago del Estero,Otumpas,,0,0
NEA,Santiago del Estero,Tacañitas,,0,0
NEA,Santiago del Estero,Sachayoj,,3,0
NEA,Santiago del Estero,Sachayoj,,0,0
NEA,Santiago del Estero,Rosello,,,8
NEA,Santiago del Estero,la Rosita,,,17
NEA,Santiago del Estero,WEISBURD,,0,0
NEA,Santiago del Estero,Col alpina,,0,1
NEA,Santiago del Estero,Belgrano,,0,3
NEA,Santiago del Estero,Belgrano,,0,0
NEA,Santiago del Estero,Campo Gallo,,1,1
NEA,Santiago del Estero,Pozodel Toba,,0,3
NEA,Santiago del Estero,Las Yerbas la paloma,,0,0
NEA,Santiago del Estero,Puna,,0,0
NEA,Santiago del Estero,VG Otumpa,,0,0
NEA,Santiago del Estero,Otumpas,,,0
NEA,Santiago del Estero,Los Juries,,,0
NEA,Santiago del Estero,Sachayoj,,,0
NEA,Santiago del Estero,Campo de Cielo,,,0
NEA,Santiago del Estero,Los Juries 2,,,0
NEA,Santiago del Estero,Quimili,,,0
NEA,Santa Fe,La pelada,,,1
NEA,Santa Fe,Juamarita,,0,1
NEA,Santa Fe,AMBROSETTI,,0,0
NEA,Santa Fe,Arroyo Ceibal,,1,2
NEA,Santa Fe,Col Hersilia,,0,2
NEA,Santa Fe,La Penca,,0,0
NEA,Santa Fe,Ramayon,,0,0
NEA,Santa Fe,LA Maria,,1,0
NEA,Santa Fe,Margarita,,0,0
NEA,Santa Fe,San justo 2,,0,0
NEA,Santa Fe,EMILIA,,0,0
NEA,Santa Fe,La María,,1,0
NEA,Santa Fe,La Osca,,1,0
NEA,Santa Fe,LLAMBI,,0,0
NEA,Santa Fe,MALABRIGO,,0,0
NEA,Santa Fe,San Justo,,1,0
NEA,Santa Fe,SOLEDAD12,,0,0
NEA,Santa Fe,Villa Sarlegui,,0,0
Litoral,Corrientes,Mercedes,0,0,1
Litoral,Corrientes,Corrientes,1,0,0
Litoral,Entre Ríos,Don Cristobal,,0,0
Litoral,Entre Ríos,De Isletas,,0,0
Litoral,Entre Ríos,La paz,,0,0
Litoral,Entre Ríos,Hinojal,,0,0
Litoral,Entre Ríos,Colonia Celina,,,0
Litoral,Entre Ríos,Viale,0,2,0
Litoral,Entre Ríos,Sauce Pinto,,1,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,,0,1
Litoral,Entre Ríos,Villa Hernandarias,,0,0
Litoral,Entre Ríos,Don Cristobal,0,0,0
Litoral,Entre Ríos,Las Garzas,0,0,2
Litoral,Entre Ríos,Santa Elena,0,1,0
Litoral,Entre Ríos,Montoya,0,0,0
Litoral,Entre Ríos,La Paz,0,0,0
Litoral,Entre Ríos,Molino Doll,1,0,0
Litoral,Entre Ríos,Feliciano,1,0,0
Litoral,Entre Ríos,Villa Lila,2,0,0
Litoral,Entre Ríos,Gualeguay,,0,1
Litoral,Entre Ríos,Victoria,5,0,5
Litoral,Entre Ríos,San Fernando,,2,0
Litoral,Entre Ríos,Nogoya,,0,0
Litoral,Entre Ríos,Parana,,,0
Litoral,Entre Ríos,Gualeguaychú,,,0
Litoral,Entre Ríos,Concepción del Uruguay,,,0
Litoral,Entre Ríos,Arroyo Barú,,,0
Litoral,Corrientes,Ambosio,,,0
Centro Norte,San Luis,La Toma,,0,0
Centro Norte,Córdoba,Corralito,23,6,0
Centro Norte,Córdoba,Freyre,0,0,0
Centro Norte,Córdoba,Morteros,0,0,0
Centro Norte,Córdoba,Rayo Cortado,,23,0
Centro Norte,Córdoba,Jesus María,,,2
Centro Norte,Córdoba,Río Ceballos,,13,1
Centro Norte,Córdoba,Arroyito,12,17,6
Centro Norte,Córdoba,Cañada de Luque,11,2,0
Centro Norte,Córdoba,Capilla de Sitón,5,9,0
Centro Norte,Córdoba,Carrilobo,,2,1
Centro Norte,Córdoba,Devoto,4,0,0
Centro Norte,Córdoba,Eufrasio Loza,,2,0
Centro Norte,Córdoba,Laguna Larga,,1,1
Centro Norte,Córdoba,Las Bajadas,,12,2
Centro Norte,Córdoba,Monte del Rosario,,74,1
Centro Norte,Córdoba,Montecristo,4,1,1
Centro Norte,Córdoba,Obispo trejo,,3,4
Centro Norte,Córdoba,Río Segundo- T1,,1,2
Centro Norte,Córdoba,San Francisco,0,0,0
Centro Norte,Córdoba,Santa Catalina,,6,1
Centro Norte,Córdoba,Tancacha,,16,2
Centro Norte,Córdoba,Villa de Maria,,0,0
