Zona,Provincia/Pais,Localidad,Lectura_01_02_26_al_16_02_26,Lectura_17_02_26_al_01_03_26,Lectura_02_03_26_al_16_03_26
Uruguay,Uruguay,Mercedes,2,6,15
Uruguay,Uruguay,Peñarol,Sin datos,Sin datos,Sin datos
Uruguay,Uruguay,Los Arenales,Sin datos,Sin datos,Sin datos
Uruguay,Uruguay,Nueva Helvecia,0,18,9
Uruguay,Uruguay,Colonia,0,3,Sin datos
Uruguay,Uruguay,Palmitas,0,4,8
Uruguay,Uruguay,Durazno,1,6,58
Uruguay,Uruguay,Young,12,237,446
Uruguay,Uruguay,Young,13,Sin datos,Sin datos
NOA,Jujuy,EL Carmen,4,8,6
NOA,Jujuy,Fraile Pintado,2,6,Trampa perdida
NOA,Jujuy,Santa Clara,4,9,4
NOA,Jujuy,El Bananal,124,60,41
NOA,Salta,Agua Sucia,16,0,5
NOA,Salta,Rio Piedras,12,4,8
NOA,Salta,Rivadavia,11,0,6
NOA,Salta,Piquete Cabado 1,Sin datos,43,6
NOA,Salta,Antilla,3,17,Trampa perdida
NOA,Salta,Ballivián,Sin datos,0,Trampa perdida
NOA,Salta,Ceibalito,Sin datos,Trampa perdida,Trampa perdida
NOA,Salta,Copo Quiles,Sin datos,Sin datos,104
NOA,Salta,El Bordo,Sin datos,Sin datos,284
NOA,Salta,El Galpón,9,146,133
NOA,Salta,El Tunal,Sin datos,Sin datos,Trampa perdida
NOA,Salta,Embarcación,Sin datos,0,Trampa perdida
NOA,Salta,Gral Pizarro,Sin datos,5,Trampa perdida
NOA,Salta,Horcones,0,0,3
NOA,Salta,J V Gonzales,31,83,Trampa perdida
NOA,Salta,Las Lajitas T3,Sin datos,3,0
NOA,Salta,Metan 1,1,1,0
NOA,Salta,Metan 2,0,2,6
NOA,Salta,Mollinedo,38,Trampa perdida,Trampa perdida
NOA,Salta,Mosconi,5,12,Trampa perdida
NOA,Salta,Nstra Sra de Talavera,121,Trampa perdida,Trampa perdida
NOA,Salta,Pichanal,Sin datos,0,Trampa perdida
NOA,Salta,Piquete Cabado 2,Trampa perdida,240,Trampa perdida
NOA,Salta,Santo Domingo,44,159,Trampa perdida
NOA,Salta,Saravia,1,16,0
NOA,Salta,Tolloche,10,0,Trampa perdida
