Zona,Provincia/Pais,Localidad,Lectura_30_10_25_al_14_11_25,Lectura_15_11_25_al_29_11_25,Lectura_30_11_25_al_15_12_25
NEA,Santa Fe,La Penca y Caraguatá,1,2,2
NEA,Santa Fe,Ramayón,0,0,1
NEA,Santa Fe,Margarita,0,0,0
NEA,Santa Fe,Vera y Pintado,0,0,0
NEA,Santa Fe,La María,0,0,0
NEA,Santa Fe,La Osca,0,0,0
NEA,Santa Fe,Malabrigo,0,4,62
NEA,Santa Fe,Soledad,0,0,0
NEA,Santa Fe,Colonia Esther,0,0,0
NEA,Santa Fe,Arroyo Ceibal,0,0,45
NEA,Santa Fe,Hersilia,0,0,Sin datos
NEA,Santiago del Estero,Weisburd,6,0,4
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Arbol Blanco,2,Trampa perdida,Trampa perdida
NEA,Santiago del Estero,Los Juries,Sin datos,0,0
NEA,Santiago del Estero,Roversi,0,0,Trampa perdida
NEA,Santiago del Estero,Tacañitas,1,2,0
NEA,Santiago del Estero,Sachayoj,0,0,7
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Santiago del Estero,Tierras del Oeste,0,0,0
NEA,Santiago del Estero,Weisburd,0,0,Sin datos
NEA,Santiago del Estero,Isla Baja,0,0,0
NEA,Santiago del Estero,Tomás Young,0,0,0
NEA,Santiago del Estero,Sachayoj,2,Sin datos,0
NEA,Santiago del Estero,Coronel Rico,0,Sin datos,0
NEA,Santiago del Estero,Quimilí,0,0,0
NEA,Santiago del Estero,Añatuya,0,0,0
NEA,Santiago del Estero,Malbran,0,Trampa perdida,0
NEA,Santiago del Estero,Pampa de los Guanacos,0,0,0
NEA,Santiago del Estero,Colonia Alpina,0,1,15
NEA,Santiago del Estero,Cuatro Bocas,0,0,Sin datos
NEA,Santiago del Estero,Puna,1,1,0
NEA,Santiago del Estero,Campo del Cielo,2,1,Sin datos
NEA,Santiago del Estero,Lilo Viejo,0,0,0
NEA,Santiago del Estero,La Rosita,0,0,0
NEA,Santiago del Estero,Girardet,0,0,0
NEA,Santiago del Estero,Cejolao,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Santiago del Estero,San Pedro de Guasayán,2,1,1
NEA,Santiago del Estero,Casares,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,0,0,0
NEA,Santiago del Estero,Moreno,Sin datos,0,Sin datos
NEA,Santiago del Estero,Pozo de toba,0,0,Sin datos
NEA,Santiago del Estero,Otumpa,6,3,0
NEA,Santiago del Estero,Avia Terai,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Ahí Veremos,2,0,7
NEA,Santiago del Estero,Las Arenas,Sin datos,0,Sin datos
NEA,Santiago del Estero,El Malacara,Sin datos,0,Sin datos
NEA,Santiago del Estero,Averias,Sin datos,Sin datos,Trampa perdida
NEA,Santiago del Estero,Bandera 2,Sin datos,Sin datos,0
Litoral,Corrientes,Mercedes,6,13,92
Litoral,Corrientes,Ambrosio,0,3,0
Litoral,Corrientes,Corrientes,0,0,0
Litoral,Corrientes,Bella Vista,0,1,12
Litoral,Corrientes,Sauce,20,26,Trampa perdida
Litoral,Corrientes,Estancia el Rocio Copra,1,10,19
Litoral,Corrientes,Mercedes,0,55,146
Litoral,Corrientes,Virasoro,6,4,28
Litoral,Corrientes,Goya,3,6,10
Litoral,Corrientes,Curuzú,2,1,3
Litoral,Corrientes,Esquina,0,1,1
Litoral,Corrientes,Monte Caseros,5,1,2
Litoral,Entre Ríos,Don Cristobal,0,2,0
Litoral,Entre Ríos,Isletas,0,0,0
Litoral,Entre Ríos,San Salvador,1,0,3
Litoral,Entre Ríos,Hinojal,1,0,0
Litoral,Entre Ríos,Viale,0,0,0
Litoral,Entre Ríos,Colonia Celina,0,1,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,0,0,0
Litoral,Entre Ríos,Villa Hernandarias,0,0,0
Litoral,Entre Ríos,Don Cristobal,0,0,0
Litoral,Entre Ríos,Crespo,0,0,0
Litoral,Entre Ríos,Las Garzas,0,0,2
Litoral,Entre Ríos,Santa Elena,Sin datos,4,1
Litoral,Entre Ríos,La Paz,0,3,5
Litoral,Entre Ríos,Feliciano,0,4,23
Litoral,Entre Ríos,Molino Doll,0,0,0
Litoral,Entre Ríos,Gualeguaychu,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Victoria,Sin datos,0,0
Litoral,Entre Ríos,Arroyo Barú,Sin datos,0,0
Litoral,Entre Ríos,La Paz,1,0,1
Litoral,Entre Ríos,Nogoya,0,0,0
Litoral,Entre Ríos,Urdinarrain,0,0,0
Litoral,Entre Ríos,Concepción del Uruguay,0,0,0
Litoral,Entre Ríos,Diamante,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Parana,0,0,0
Litoral,Entre Ríos,Villa Mantero,0,0,0
Centro Norte,Córdoba,Corralito,0,1,0
Centro Norte,Córdoba,El Fortín,0,0,0
Centro Norte,Córdoba,Freyre,0,0,0
Centro Norte,Córdoba,Morteros,0,0,0
Centro Norte,Córdoba,Rayo Cortado,0,0,1
Centro Norte,Córdoba,Jesus María,0,1,4
Centro Norte,Córdoba,Cañada de Luque,0,0,0
Centro Norte,Córdoba,Río Ceballos,0,0,0
Centro Norte,Córdoba,Villa María,0,Trampa perdida,Trampa perdida
Centro Norte,Córdoba,Carrilobo,0,0,0
Centro Norte,Córdoba,Capilla de Sitón,0,0,0
Centro Norte,Córdoba,Devoto,Sin datos,0,0
Centro Norte,Córdoba,San Francisco,0,0,1
Centro Norte,Córdoba,Eufrasio Loza,Sin datos,0,0
Centro Norte,Córdoba,Laguna Larga,0,0,0
Centro Norte,Córdoba,Las Bajadas,0,1,1
Centro Norte,Córdoba,Monte del Rosario,0,Trampa perdida,3
Centro Norte,Córdoba,Montecristo,1,1,0
Centro Norte,Córdoba,Obispo trejo,0,0,1
Centro Norte,Córdoba,Río Segundo-T1,0,0,0
Centro Norte,Córdoba,Arroyito,0,0,0
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,0
Centro Norte,Córdoba,Villa de Maria,0,0,0
Centro Norte,Córdoba,Villa Sta. Rosa,0,0,0
Centro Norte,Córdoba,Colonia Tirolesa,0,0,0
Centro Norte,Córdoba,Hernando,0,0,0
Centro Norte,Córdoba,Piquillín,0,0,0
Centro Norte,Córdoba,Las Chilcas,0,0,0
Centro Norte,Córdoba,Sebastián el Cano,0,0,Sin datos
Centro Norte,Córdoba,El Tío,0,0,0
Centro Norte,Córdoba,Las Astillas,1,0,0
Centro Norte,Córdoba,Tala Norte,Sin datos,0,0
Centro Norte,Córdoba,Mi Granja,0,2,0
Centro Norte,Córdoba,Sacanta,0,0,0
Centro Norte,Córdoba,Sinsacate,0,0,0
Centro Norte,Córdoba,Manfredi,0,0,0
Centro Norte,Córdoba,Brinkmann,0,0,0
Centro Norte,Córdoba,San Francisco,0,0,0
Centro Norte,Córdoba,Colonia Marina,0,0,0
Centro Norte,Córdoba,Villa Fontana,0,0,0
Centro Norte,Córdoba,Loma Del Trozo,0,0,0
Centro Norte,San Luis,La Toma,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Humboldt,0,0,0
Centro Norte,Santa Fe,Landeta,0,0,0
Centro Norte,Santa Fe,Piamonte,0,0,0
Centro Norte,Santa Fe,San Vicente,0,0,0
Centro Norte,Santa Fe,Susana,0,0,0
Centro Norte,Santa Fe,San Guillermo,0,2,3
Centro Norte,Santa Fe,San Jorge,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0,0
Centro Norte,Santa Fe,Vila,0,0,0
Centro Norte,Santa Fe,El Trébol,0,0,0
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,0,0,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,0
Centro Norte,Santa Fe,Emilia,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Aldao,2,Trampa perdida,3
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,0,0,3
Centro Norte,Santa Fe,Sastre,1,0,0
Centro Norte,Santa Fe,San Jerónimo Norte,4,7,9
Centro Norte,Santa Fe,Ataliva,0,0,0
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0,0
Centro Norte,Santa Fe,Crispi,0,0,0
Centro Norte,Santa Fe,Esperanza,0,0,0
Centro Norte,Santa Fe,Moisés Ville,0,0,0
Centro Norte,Santa Fe,Cañada Rosquín,0,Sin datos,0
Centro Norte,Santa Fe,El Trébol 4,0,Sin datos,Sin datos
Centro Norte,Santa Fe,Rincón de Ávila,0,0,0
Centro Norte,Santa Fe,San Fabián,0,0,0
Centro Norte,Santa Fe,San Martin de las Escobas,0,0,0
Centro Norte,Santa Fe,Centeno,0,0,0
Centro Norte,Santa Fe,Videla,1,2,Sin datos
Centro Norte,Santa Fe,Rafaela,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Norte,Santa Fe,San Justo,0,0,0
Centro Norte,Santa Fe,Angelica,0,0,0
Centro Norte,Santa Fe,Fraga,0,0,0
Centro Norte,Santa Fe,Naré,Sin datos,Sin datos,0
Centro Sur,Buenos Aires,La Violeta,0,0,0
Centro Sur,Buenos Aires,América,0,Trampa perdida,0
Centro Sur,Buenos Aires,Chacabuco,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,0,0,0
Centro Sur,Buenos Aires,Coronel Suarez,0,0,0
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Germania,0,0,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,0,0
Centro Sur,Buenos Aires,Gobernador Castro,0,0,0
Centro Sur,Buenos Aires,González Moreno,0,Trampa perdida,0
Centro Sur,Buenos Aires,Guaminí,0,0,0
Centro Sur,Buenos Aires,Leandro N. Alem,0,0,0
Centro Sur,Buenos Aires,Los Toldos,0,0,0
Centro Sur,Buenos Aires,Morse,0,0,0
Centro Sur,Buenos Aires,Pasman,0,0,0
Centro Sur,Buenos Aires,Rafael Obligado,0,Trampa perdida,0
Centro Sur,Buenos Aires,Florentino Ameghino,0,0,0
Centro Sur,Buenos Aires,Roberts,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,0,0,0
Centro Sur,Buenos Aires,Villa Gral. Savio,0,2,0
Centro Sur,Buenos Aires,Inés Indart,0,0,0
Centro Sur,Buenos Aires,Pirovano,0,0,0
Centro Sur,Buenos Aires,Pedro Gamen,0,0,0
Centro Sur,Buenos Aires,Pigüé,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,0,0,Sin datos
Centro Sur,Buenos Aires,Berraondo,0,0,Sin datos
Centro Sur,Buenos Aires,Carhue,0,0,0
Centro Sur,Buenos Aires,Chascomús,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Paraje Fra Pal,0,0,0
Centro Sur,Buenos Aires,Salto,0,0,Sin datos
Centro Sur,Buenos Aires,Trenque Lauquen,0,0,Sin datos
Centro Sur,Buenos Aires,Chillar,Sin datos,0,0
Centro Sur,Buenos Aires,Puan,0,0,0
Centro Sur,Buenos Aires,Viboras,0,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0,0
