Zona,Provincia,Localidad,Cant_30_11_25_al_15_12_25,Cant_16_12_25_al_31_12_25,Cant_01_01_26_al_16_01_26
NEA,Santa Fe,Colonia Esther,0,0,2
NEA,Santa Fe,Arroyo Ceibal,45,26,Sin datos
NEA,Santa Fe,Hersilia,Sin datos,16,7
NEA,Santiago del Estero,Weisburd,4,Trampa perdida,5
NEA,Santiago del Estero,Bandera,0,Trampa perdida,0
NEA,Santiago del Estero,Col. Mackinlay,Sin datos,3,31
NEA,Santiago del Estero,Bandera,0,0,2
NEA,Santiago del Estero,Arbol Blanco,Trampa perdida,Trampa perdida,Sin datos
NEA,Santiago del Estero,Los Juries,0,0,5
NEA,Santiago del Estero,Roversi,Trampa perdida,Trampa perdida,Trampa perdida
NEA,Santiago del Estero,Tacañitas,0,Sin datos,Trampa perdida
NEA,Santiago del Estero,Sachayoj,7,10,0
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Santiago del Estero,Tierras del Oeste,0,0,2
NEA,Santiago del Estero,Isla Baja,0,0,0
NEA,Santiago del Estero,Tomás Young,0,0,3
NEA,Santiago del Estero,Sachayoj,0,0,3
NEA,Santiago del Estero,Coronel Rico,0,0,1
NEA,Santiago del Estero,Quimilí,0,Trampa perdida,10
NEA,Santiago del Estero,Añatuya,0,45,50
NEA,Santiago del Estero,Malbran,0,0,0
NEA,Santiago del Estero,Pampa de los Guanacos,1,9,10
NEA,Santiago del Estero,Colonia Alpina,15,Sin datos,24
NEA,Santiago del Estero,Puna,0,0,Sin datos
NEA,Santiago del Estero,Campo del Cielo,Sin datos,Sin datos,61
NEA,Santiago del Estero,Lilo Viejo,0,0,25
NEA,Santiago del Estero,La Rosita,0,0,Sin datos
NEA,Santiago del Estero,Girardet,0,0,Sin datos
NEA,Santiago del Estero,Cejolao,0,0,Sin datos
NEA,Santiago del Estero,El colorado,0,0,Sin datos
NEA,Santiago del Estero,San Pedro de Guasayán,1,1,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,0,0,4
NEA,Santiago del Estero,Otumpa,0,4,4
NEA,Santiago del Estero,Avia Terai,Sin datos,0,1
NEA,Santiago del Estero,Ahí Veremos,7,2,0
NEA,Santiago del Estero,Averias,Trampa perdida,Sin datos,Sin datos
NEA,Santiago del Estero,Bandera 2,0,Trampa perdida,Sin datos
Litoral,Corrientes,Mercedes,92,37,131
Litoral,Corrientes,Ambrosio,0,Sin datos,0
Litoral,Corrientes,Corrientes,0,0,0
Litoral,Corrientes,Bella Vista,12,12,0
Litoral,Corrientes,Sauce,Trampa perdida,13,19
Litoral,Corrientes,Estancia el Rocio Copra,Trampa perdida,19,Trampa perdida
Litoral,Corrientes,Mercedes,146,100,27
Litoral,Corrientes,Virasoro,28,22,5
Litoral,Corrientes,Goya,10,11,5
Litoral,Corrientes,Curuzú,3,7,24
Litoral,Corrientes,Esquina,1,0,0
Litoral,Corrientes,Monte Caseros,2,1,0
Litoral,Entre Ríos,Don Cristobal,0,2,1
Litoral,Entre Ríos,Isletas,0,0,0
Litoral,Entre Ríos,San Salvador,3,6,55
Litoral,Entre Ríos,Hinojal,0,2,1
Litoral,Entre Ríos,Viale,0,1,0
Litoral,Entre Ríos,Colonia Celina,0,0,2
Litoral,Entre Ríos,Gualeguay,0,0,0
