Zona,Provincia,Localidad,Cant_29_03_25_al_14_04_25,Cant_15_04_25_al_28_04_25,Cant_29_04_25_al_16_05_25
NOA,Jujuy,Palpala,49,58,98
NOA,Jujuy,EL Carmen,6,44,Sin datos
NOA,Jujuy,Fraile Pintado,32,40,Sin datos
NOA,Jujuy,Santa Clara,68,21,Sin datos
NOA,Jujuy,El Bananal,44,221,347
NOA,Salta,Güemes,68,283,115
NOA,Salta,Rivadavia,Trampa perdida,1,234
NOA,Salta,Piquete Cabado 1,748,785,1123
NOA,Salta,Antilla,Sin datos,210,2115
NOA,Salta,Ballivián,48,36,544
NOA,Salta,Ceibalito,663,328,Sin datos
NOA,Salta,Chaguaral,Trampa perdida,0,Trampa perdida
NOA,Salta,Copo Quiles,307,205,1137
NOA,Salta,El Bordo,381,384,Sin datos
NOA,Salta,El Galpón,903,1269,1644
NOA,Salta,El Tunal,132,233,351
NOA,Salta,Embarcación,163,717,1531
NOA,Salta,Gral Pizarro,Trampa perdida,77,50
NOA,Salta,Horcones,174,283,Sin datos
NOA,Salta,J V Gonzales,Sin datos,537,Sin datos
NOA,Salta,Las Lajitas T3,968,708,661
NOA,Salta,Metan 1,220,71,594
NOA,Salta,Metan 2,828,816,1623
NOA,Salta,Mollinedo,594,1526,3600
NOA,Salta,Mosconi,Sin datos,26,Sin datos
NOA,Salta,Nstra Sra de Talavera,1106,Trampa perdida,Sin datos
NOA,Salta,Pichanal,Trampa perdida,0,300
NOA,Salta,Piquete Cabado 2,628,459,Sin datos
NOA,Salta,Santo Domingo,1014,701,Sin datos
NOA,Salta,Saravia,513,612,Sin datos
NOA,Salta,Tolloche,459,1202,Sin datos
NOA,Salta,Urundel,178,28,1280
NOA,Salta,Metán,966,613,263
NOA,Tucumán,Acequiones,401,226,5120
NOA,Tucumán,Alto Verde,105,26,250
NOA,Tucumán,Burruyacu,98,130,450
NOA,Tucumán,Chilca,524,614,455
NOA,Tucumán,Garmendia,750,823,950
NOA,Tucumán,Huasa Pampa,3,4,49
NOA,Tucumán,La Bajada,38,73,103
NOA,Tucumán,La Cocha 1,238,160,144
NOA,Tucumán,La Cruz,612,423,Sin datos
NOA,Tucumán,La Invernada,120,38,244
NOA,Tucumán,La Virginia,42,57,179
NOA,Tucumán,Laguna de Robles,219,545,978
NOA,Tucumán,Las Cejas,3060,4800,1360
NOA,Tucumán,Los Pereyra,23,423,570
NOA,Tucumán,Los Puestos,65,Sin datos,32
NOA,Tucumán,Piedrabuena,75,42,Trampa perdida
NOA,Tucumán,Rapelli,Sin datos,867,474
NOA,Tucumán,Río Colorado,41,24,35
NOA,Tucumán,Rumi Punco,66,329,322
NOA,Tucumán,San Agustín,42,32,63
NOA,Tucumán,Tacanas,127,163,Sin datos
NOA,Tucumán,Taco Ralo,98,155,564
NOA,Tucumán,Timbo Viejo,1270,1320,2628
NOA,Tucumán,Trancas,133,306,391
NOA,Tucumán,Viclos,Sin datos,92,Trampa perdida
NOA,Tucumán,Leales,848,Trampa perdida,347
NOA,Santiago del Estero,Bobadal,87,124,137
NOA,Santiago del Estero,El Charco,12,Trampa perdida,Trampa perdida
NOA,Santiago del Estero,El Mojón,Sin datos,180,274
NOA,Santiago del Estero,El Palomar,920,828,545
NOA,Santiago del Estero,Frias 2,187,498,60
NOA,Santiago del Estero,Frias,330,18,1061
NOA,Santiago del Estero,Isca Yacu 1,597,Sin datos,597
