Región,Provincia,Localidad,Lectura_15_11_25_al_29_11,Lectura_30_11_25_al_15_12_25,Lectura_16_12_25_al_31_12_25
NOA,Tucumán,La Virginia,0,0,0
NOA,Tucumán,Laguna de Robles,1,4,0
NOA,Tucumán,Las Cejas,27,Trampa perdida,0
NOA,Tucumán,Los Pereyra,2,0,0
NOA,Tucumán,Los Puestos,0,0,0
NOA,Tucumán,Piedrabuena,1,0,0
NOA,Tucumán,Rapelli,0,0,0
NOA,Tucumán,Río Colorado,75,65,8
NOA,Tucumán,Rumi Punco,2,4,1
NOA,Tucumán,San Agustín,2,2,1
NOA,Tucumán,Tacanas,0,3,0
NOA,Tucumán,Taco Ralo,6,5,5
NOA,Tucumán,Timbo Viejo,34,48,18
NOA,Tucumán,Trancas,Sin datos,Sin datos,1
NOA,Tucumán,Viclos,0,0,2
NOA,Tucumán,Leales,0,0,0
NOA,Tucumán,Tala Pozo,,1,Trampa perdida
NOA,Santiago del Estero,Bobadal,0,0,0
NOA,Santiago del Estero,El Charco,0,1,20
NOA,Santiago del Estero,El Palomar,0,0,Trampa perdida
NOA,Santiago del Estero,Frias,0,0,1
NOA,Santiago del Estero,Isca Yacu 2,0,0,0
NOA,Santiago del Estero,Pampa Pozo,0,Sin datos,1
NOA,Santiago del Estero,Pozo Hondo,Sin datos,Sin datos,0
NOA,Santiago del Estero,San Pedro de Guasayán,1,1,1
NOA,Santiago del Estero,Termas R. Hondo,0,0,0
NOA,Santiago del Estero,Vinará,2,3,3
NOA,Santiago del Estero,Termas de Río Hondo,0,0,0
NOA,Catamarca,El Abra,0,0,2
NOA,Catamarca,Los Altos,75,12,38
NOA,Catamarca,Frias,1,5,6
NEA,Chaco,Tres Isletas,15,17,15
NEA,Chaco,Pampa del Infierno,83,1,Trampa perdida
NEA,Chaco,Concepcion del Bermejo,4,7,Sin datos
NEA,Chaco,Villa Angela,12,40,28
NEA,Chaco,Las Piedritas,Sin datos,5,0
NEA,Chaco,Gral. Pinedo,13,7,9
NEA,Chaco,Tres Isletas,5,3,4
NEA,Chaco,Pampa del Infierno,7,9,10
NEA,Chaco,Las Breñas,4,34,9
NEA,Chaco,Juan José Castelli,446,158,32
NEA,Chaco,Sylvina,Trampa perdida,4,1
NEA,Chaco,Basail,5,3,4
NEA,Chaco,Bajo Hondo,6,1,83
NEA,Chaco,Las Piedras,0,0,0
NEA,Chaco,San Bernardo,0,0,0
NEA,Chaco,La Montenegrina,0,1,1
NEA,Chaco,Santa Teresa Capdevilla,0,0,0
NEA,Chaco,Palo blanco,0,2,5
NEA,Chaco,Pampa del Infierno,1,6,147
NEA,Chaco,Castelli,4,7,54
NEA,Chaco,El Tocon Bermejo,0,20,54
NEA,Chaco,Charata,0,0,0
NEA,Chaco,Gancedo,0,0,0
NEA,Chaco,Las Breñas,0,0,0
NEA,Chaco,Almirante Brown,Sin datos,0,Sin datos
NEA,Formosa,El colorado,0,0,3
NEA,Formosa,Comandante Fontana,292,1082,Trampa perdida
NEA,Formosa,Perin,5,149,0
NEA,Formosa,Las Lomitas,102,42,230
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,El Guanagan,0,0,1
NEA,Santa Fe,Santa Margarina,5,5,Trampa perdida
NEA,Santa Fe,Villa Minetti,0,1,0
NEA,Santa Fe,Emilia,0,0,0
NEA,Santa Fe,Reconquista,0,5,55
NEA,Santa Fe,Calchaquí,1,1,3
NEA,Santa Fe,Logroño,0,0,0
NEA,Santa Fe,San javier,0,2,2
NEA,Santa Fe,La sarita,16,161,82
NEA,Santa Fe,La Pelada,0,0,0
NEA,Santa Fe,Ambrosetti,0,1,8
NEA,Santa Fe,La Penca y Caraguatá,2,2,0
NEA,Santa Fe,Ramayón,0,1,3
NEA,Santa Fe,Margarita,0,0,0
NEA,Santa Fe,Vera y Pintado,0,0,1
NEA,Santa Fe,La María,0,0,4
NEA,Santa Fe,La Osca,0,0,0
NEA,Santa Fe,Malabrigo,4,62,7
NEA,Santa Fe,Soledad,0,0,0
NEA,Santa Fe,Colonia Esther,0,0,0
NEA,Santa Fe,Arroyo Ceibal,0,45,26
NEA,Santa Fe,Hersilia,0,Sin datos,Sin datos
NEA,Santiago del Estero,Weisburd,0,4,Trampa perdida
NEA,Santiago del Estero,Bandera,0,0,Trampa perdida
NEA,Santiago del Estero,Col. Mackinlay,,,3
NEA,Santiago del Estero,Bandera,0,0,Sin datos
NEA,Santiago del Estero,Arbol Blanco,Trampa perdida,Trampa perdida,0
NEA,Santiago del Estero,Los Juries,0,0,0
NEA,Santiago del Estero,Roversi,0,Trampa perdida,Trampa perdida
NEA,Santiago del Estero,Tacañitas,2,0,Sin datos
NEA,Santiago del Estero,Sachayoj,0,7,10
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Santiago del Estero,Tierras del Oeste,0,0,0
NEA,Santiago del Estero,Weisburd,0,Sin datos,Sin datos
NEA,Santiago del Estero,Isla Baja,0,0,0
NEA,Santiago del Estero,Tomás Young,0,0,0
NEA,Santiago del Estero,Sachayoj,Sin datos,0,0
NEA,Santiago del Estero,Coronel Rico,Sin datos,0,0
NEA,Santiago del Estero,Quimilí,0,0,Trampa perdida
NEA,Santiago del Estero,Añatuya,0,0,45
NEA,Santiago del Estero,Malbran,Trampa perdida,0,0
NEA,Santiago del Estero,Pampa de los Guanacos,0,1,9
NEA,Santiago del Estero,Colonia Alpina,1,15,Sin datos
NEA,Santiago del Estero,Cuatro Bocas,0,Sin datos,Sin datos
NEA,Santiago del Estero,Puna,1,0,0
NEA,Santiago del Estero,Campo del Cielo,1,Sin datos,Sin datos
NEA,Santiago del Estero,Lilo Viejo,0,0,0
NEA,Santiago del Estero,La Rosita,0,0,0
