Región,Provincia,Localidad,Lectura_14_03_25_al_28_03_25,Lectura_29_03_25_al_14_04_25,Lectura_15_04_25_al_28_04_25
NOA,Jujuy,Palpala,49,123,58
NOA,Jujuy,EL Carmen,1,6,44
NOA,Jujuy,Fraile Pintado,Trampa perdida,32,40
NOA,Jujuy,Santa Clara,21,1,68
NOA,Jujuy,El Bananal,44,21,221
NOA,Salta,Rio Piedras,Sin datos,Sin datos,Sin datos
NOA,Salta,Güemes,285,283,68
NOA,Salta,Rivadavia,Trampa perdida,40,1
NOA,Salta,Piquete Cabado 1,748,248,785
NOA,Salta,Antilla,Sin datos,52,210
NOA,Salta,Ballivián,22,36,48
NOA,Salta,Ceibalito,Sin datos,328,663
NOA,Salta,Chaguaral,0,0,Trampa perdida
NOA,Salta,Copo Quiles,205,72,307
NOA,Salta,El Bordo,384,237,381
NOA,Salta,El Galpón,903,369,1269
NOA,Salta,El Tunal,142,132,233
NOA,Salta,Embarcación,118,163,717
NOA,Salta,Gral Pizarro,54,77,Trampa perdida
NOA,Salta,Horcones,120,174,283
NOA,Salta,J V Gonzales,Sin datos,Sin datos,537
NOA,Salta,Las Lajitas T3,30,708,968
NOA,Salta,Metan 1,36,71,220
NOA,Salta,Metan 2,260,816,828
NOA,Salta,Mollinedo,594,305,1526
NOA,Salta,Mosconi,Trampa perdida,26,Sin datos
NOA,Salta,Nstra Sra de Talavera,Trampa perdida,Sin datos,1106
NOA,Salta,Pichanal,0,0,Trampa perdida
NOA,Salta,Piquete Cabado 2,Sin datos,459,628
NOA,Salta,Santo Domingo,Sin datos,1014,701
NOA,Salta,Saravia,Sin datos,612,513
NOA,Salta,Tolloche,Sin datos,459,1202
NOA,Salta,Urundel,15,28,178
NOA,Salta,Metán,696,966,613
NOA,Tucumán,Acequiones,153,226,401
NOA,Tucumán,Alto Verde,131,105,26
NOA,Tucumán,Burruyacu,22,98,130
NOA,Tucumán,Chilca,254,524,614
NOA,Tucumán,Garmendia,Sin datos,750,823
NOA,Tucumán,Huasa Pampa,1,3,4
NOA,Tucumán,La Bajada,22,38,73
NOA,Tucumán,La Cocha 1,92,238,160
NOA,Tucumán,La Cruz,37,612,423
NOA,Tucumán,La Invernada,71,120,38
NOA,Tucumán,La Virginia,123,42,57
NOA,Tucumán,Laguna de Robles,132,219,545
NOA,Tucumán,Las Cejas,3120,3060,4800
NOA,Tucumán,Los Pereyra,0,23,423
NOA,Tucumán,Los Puestos,16,65,Sin datos
NOA,Tucumán,Piedrabuena,98,75,42
NOA,Tucumán,Rapelli,86,Sin datos,867
NOA,Tucumán,Río Colorado,29,41,24
NOA,Tucumán,Rumi Punco,232,66,329
NOA,Tucumán,San Agustín,60,42,32
NOA,Tucumán,Tacanas,Sin datos,127,163
NOA,Tucumán,Taco Ralo,74,98,155
NOA,Tucumán,Timbo Viejo,1141,1270,1320
NOA,Tucumán,Trancas,92,133,306
NOA,Tucumán,Viclos,Sin datos,Sin datos,92
NOA,Tucumán,Leales,220,848,Trampa perdida
NOA,Santiago del Estero,Bobadal,127,87,124
NOA,Santiago del Estero,El Charco,10,12,Trampa perdida
NOA,Santiago del Estero,El Mojón,Sin datos,Sin datos,180
NOA,Santiago del Estero,El Palomar,537,920,828
NOA,Santiago del Estero,Frias 2,239,187,498
NOA,Santiago del Estero,Frias,15,330,18
NOA,Santiago del Estero,Isca Yacu 1,251,597,Sin datos
NOA,Santiago del Estero,Isca Yacu 2,193,137,202
NOA,Santiago del Estero,Las Delicias,Sin datos,Sin datos,240
NOA,Santiago del Estero,Lavalle,36,62,24
NOA,Santiago del Estero,Nueva Esperanza,98,124,24
NOA,Santiago del Estero,Pampa Pozo,207,165,446
NOA,Santiago del Estero,Pozo de Bedert,105,Sin datos,285
NOA,Santiago del Estero,Pozo Hondo,57,42,164
NOA,Santiago del Estero,San Pedro de Guasayán,44,143,Sin datos
NOA,Santiago del Estero,Termas de Río Hondo,Sin datos,115,325
NOA,Santiago del Estero,Vinará,5,7,124
NOA,Catamarca,El Abra,271,228,68
