Región,Provincia,Localidad,Lectura_04_10_24_al_21_10_24,Lectura_22_10_24_al_08_11_24,Lectura_09_11_24_al_22_11_24
NEA,Chaco,3 Retoños,0,0,0
NEA,Chaco,Quitilipi,0,0,0
NEA,Chaco,Pampa de los Guanacos,0,0,Sin datos
NEA,Chaco,Pampa del Infierno,7,0,Sin datos
NEA,Chaco,PampaToloza,0,0,0
NEA,Chaco,Kempe,0,0,0
NEA,Chaco,Gancedo,0,0,0
NEA,Chaco,Gral. Pinedo,0,0,0
NEA,Chaco,Tres Isletas,1,0,2
NEA,Chaco,Los frentones,0,0,0
NEA,Chaco,Pampa del Infierno,1,0,0
NEA,Chaco,Pampa de los Guanacos,0,0,1
NEA,Chaco,Las Breñas,0,0,0
NEA,Chaco,Juan José Castelli,0,0,0
NEA,Chaco,Basail,0,25,24
NEA,Santiago del Estero,Weisburd,0,1,2
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Bandera,0,0,0
NEA,Santiago del Estero,Arbol Blanco,0,0,0
NEA,Santiago del Estero,Los Juries,0,1,1
NEA,Santiago del Estero,Roversi,1,2,0
NEA,Santiago del Estero,Otumpas,0,0,0
NEA,Santiago del Estero,Tacañitas,0,0,0
NEA,Santiago del Estero,Sachayoj,0,0,0
NEA,Santiago del Estero,Campo Gallo,0,0,0
NEA,Santiago del Estero,Sachayoj,0,0,0
NEA,Santiago del Estero,SotosCueva,0,0,0
NEA,Santiago del Estero,Rosello,0,0,0
NEA,Santiago del Estero,Tierras del Oeste,0,1,0
NEA,Santiago del Estero,Lilo Viejo,0,0,0
NEA,Santiago del Estero,Cuatro Bocas,0,0,0
NEA,Santiago del Estero,Rio Dulce,0,0,1
NEA,Santiago del Estero,La Rosita,0,0,0
NEA,Santiago del Estero,Weisburd,0,0,0
NEA,Santiago del Estero,Colonia Alpina,1,0,0
NEA,Santiago del Estero,Isla Baja,0,3,0
NEA,Santiago del Estero,Tomás Young,0,5,2
NEA,Santiago del Estero,Campo Gallo,1,0,Sin datos
NEA,Santiago del Estero,Pozo del Toba,0,0,0
NEA,Santiago del Estero,Desvío La Paloma,0,0,0
NEA,Santiago del Estero,Puna,0,0,0
NEA,Santiago del Estero,Otumpa,0,0,0
NEA,Santiago del Estero,Campo del Cielo,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Santiago del Estero,Campo de Cielo,0,0,0
NEA,Santiago del Estero,Otumpa,0,0,0
NEA,Santiago del Estero,Los Juries,0,0,0
NEA,Santiago del Estero,Sachayoj,0,0,0
NEA,Santiago del Estero,Quimilí,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Santa Fe,La Pelada,0,0,0
NEA,Santa Fe,Juamarita,0,0,Sin datos
NEA,Santa Fe,Ambrosetti,0,0,0
NEA,Santa Fe,Arroyo Ceibal,0,0,0
NEA,Santa Fe,Hersilia,3,0,0
NEA,Santa Fe,La Penca y Caraguatá,0,0,0
NEA,Santa Fe,Ramayón,0,0,0
NEA,Santa Fe,Alejandra,0,0,0
NEA,Santa Fe,Margarita,0,0,0
NEA,Santa Fe,Vera y Pintado,0,0,0
NEA,Santa Fe,Emilia,0,0,0
NEA,Santa Fe,La María,0,Sin datos,0
