Región,Provincia,Localidad,Lectura_29_04_25_al_16_05_25,Lectura_17_05_25_al_02_06_25,Lectura_03_06_25_al_19_06_25
NOA,Jujuy,EL Carmen,32,22,7
NOA,Jujuy,Fraile Pintado,38,15,12
NOA,Jujuy,Santa Clara,48,28,43
NOA,Jujuy,El Bananal,347,95,675
NOA,Salta,Güemes,115,Sin datos,Sin datos
NOA,Salta,Rivadavia,234,28,368
NOA,Salta,Piquete Cabado 1,1123,1960,2680
NOA,Salta,Antilla,2115,3061,945
NOA,Salta,Ballivián,544,118,112
NOA,Salta,Ceibalito,Sin datos,1520,1520
NOA,Salta,Chaguaral,Trampa perdida,Sin datos,0
NOA,Salta,Copo Quiles,1137,4464,4320
NOA,Salta,El Bordo,Sin datos,2320,2800
NOA,Salta,El Galpón,1644,2238,1007
NOA,Salta,El Tunal,351,380,957
NOA,Salta,Embarcación,1531,592,39
NOA,Salta,Gral Pizarro,50,2000,2240
NOA,Salta,Horcones,Sin datos,240,260
NOA,Salta,J V Gonzales,Sin datos,2030,2030
NOA,Salta,Las Lajitas T3,661,1656,1296
NOA,Salta,Metan 1,594,459,972
NOA,Salta,Metan 2,1623,1665,2564
NOA,Salta,Mollinedo,3600,2640,0
NOA,Salta,Mosconi,Sin datos,Sin datos,19
NOA,Salta,Nstra Sra de Talavera,Sin datos,323,323
NOA,Salta,Pichanal,300,228,59
NOA,Salta,Piquete Cabado 2,Sin datos,2300,2300
NOA,Salta,Santo Domingo,Sin datos,Sin datos,2320
NOA,Salta,Saravia,Sin datos,1540,1540
NOA,Salta,Tolloche,Sin datos,244,244
NOA,Salta,Urundel,1280,701,110
NOA,Salta,Metán,263,359,6
NOA,Tucumán,Acequiones,5120,610,214
NOA,Tucumán,Alto Verde,250,254,42
NOA,Tucumán,Burruyacu,450,630,150
NOA,Tucumán,Chilca,455,636,Sin datos
NOA,Tucumán,Garmendia,950,60,630
NOA,Tucumán,Huasa Pampa,49,3,212
NOA,Tucumán,La Bajada,103,203,224
NOA,Tucumán,La Cocha 1,144,1040,1020
NOA,Tucumán,La Cruz,Sin datos,1134,2450
NOA,Tucumán,La Invernada,244,136,115
NOA,Tucumán,La Virginia,179,530,418
NOA,Tucumán,Laguna de Robles,978,439,2793
NOA,Tucumán,Las Cejas,1360,2120,4760
NOA,Tucumán,Los Pereyra,Sin datos,959,996
NOA,Tucumán,Los Puestos,32,24,169
NOA,Tucumán,Piedrabuena,Trampa perdida,227,107
NOA,Tucumán,Rapelli,474,3290,Sin datos
NOA,Tucumán,Río Colorado,35,40,132
NOA,Tucumán,Rumi Punco,322,1530,880
NOA,Tucumán,San Agustín,63,200,35
NOA,Tucumán,Tacanas,310,265,Sin datos
NOA,Tucumán,Taco Ralo,564,537,2005
NOA,Tucumán,Timbo Viejo,2628,2120,789
NOA,Tucumán,Trancas,391,439,191
NOA,Tucumán,Viclos,Trampa perdida,Sin datos,Trampa perdida
NOA,Tucumán,Leales,347,510,1388
NOA,Santiago del Estero,Bobadal,137,320,156
NOA,Santiago del Estero,El Charco,Trampa perdida,310,23
NOA,Santiago del Estero,El Mojón,274,571,895
NOA,Santiago del Estero,El Palomar,545,268,226
NOA,Santiago del Estero,Frias 2,1061,1542,17
NOA,Santiago del Estero,Frias,1061,1542,1657
NOA,Santiago del Estero,Isca Yacu 1,597,3061,Sin datos
NOA,Santiago del Estero,Isca Yacu 2,0,Trampa perdida,98
NOA,Santiago del Estero,Las Delicias,3300,430,1025
NOA,Santiago del Estero,Lavalle,797,Sin datos,Trampa perdida
NOA,Santiago del Estero,Nueva Esperanza,110,743,Sin datos
NOA,Santiago del Estero,Pampa Pozo,1744,1080,1925
NOA,Santiago del Estero,Pozo de Bedert,Trampa perdida,521,Sin datos
NOA,Santiago del Estero,Pozo Hondo,0,278,1820
NOA,Santiago del Estero,San Pedro de Guasayán,Sin datos,644,286
NOA,Santiago del Estero,Termas de Río Hondo,371,Sin datos,Trampa perdida
NOA,Santiago del Estero,Vinará,Sin datos,603,219
NOA,Catamarca,El Abra,210,150,150
NOA,Catamarca,Los Altos,169,256,98
NEA,Formosa,Las Lomitas,Sin datos,Sin datos,Sin datos
NEA,Formosa,Perin,59,65,Sin datos
NEA,Formosa,El colorado,8,8,3
NEA,Formosa,Comandante Fontana,891,475,450
NEA,Chaco,Tres Isletas,Sin datos,20,26
NEA,Chaco,Pampa del Infierno,95,83,512
NEA,Chaco,Concepcion del Bermejo (Estanislao),Trampa perdida,30,Sin datos
NEA,Chaco,Don Luciano (C. del Bermejo),43,Trampa perdida,Sin datos
NEA,Chaco,Villa Angela,44,1,17
NEA,Chaco,Las Piedritas,0,0,0
NEA,Chaco,Los Frentones,Sin datos,Sin datos,Sin datos
NEA,Chaco,Juan José Castelli,Sin datos,Sin datos,Sin datos
NEA,Chaco,El Timbo Pampa,Sin datos,Sin datos,Sin datos
NEA,Chaco,El Tocon Bermejo,Sin datos,10,Sin datos
NEA,Chaco,Las Breñas,30,23,19
NEA,Chaco,Santa Teresa Capdevilla,Sin datos,Sin datos,Sin datos
NEA,Chaco,Pampa Cejas,Sin datos,53,Sin datos
NEA,Chaco,3 Retoños,Sin datos,37,41
NEA,Chaco,Quitilipi,Sin datos,Sin datos,Sin datos
NEA,Chaco,PampaToloza,Sin datos,Sin datos,Sin datos
NEA,Chaco,Kempe,0,0,34
NEA,Chaco,Gral. Pinedo,45,42,186
NEA,Chaco,Tres Isletas,62,102,43
NEA,Chaco,Pampa del Infierno,15,2,179
NEA,Chaco,Las Breñas,480,Trampa perdida,310
NEA,Chaco,Juan José Castelli,2,65,116
NEA,Chaco,Sylvina,85,143,147
NEA,Chaco,Basail,103,35,92
NEA,Santiago del Estero,Weisburd,181,1120,1900
NEA,Santiago del Estero,Bandera,2319,2057,94
NEA,Santiago del Estero,Bandera,10,Sin datos,0
NEA,Santiago del Estero,Arbol Blanco,0,125,Sin datos
NEA,Santiago del Estero,Los Juries,830,340,27
NEA,Santiago del Estero,Roversi,813,816,Sin datos
NEA,Santiago del Estero,Otumpas,Sin datos,Sin datos,11
NEA,Santiago del Estero,Tacañitas,Sin datos,320,Sin datos
NEA,Santiago del Estero,Sachayoj,1,4,8
NEA,Santiago del Estero,Campo Gallo,78,Sin datos,273
NEA,Santiago del Estero,Sachayoj,Sin datos,480,Sin datos
NEA,Santiago del Estero,Sotos Cueva,Sin datos,900,500
NEA,Santiago del Estero,Rosello,Sin datos,13,Sin datos
NEA,Santiago del Estero,Tierras del Oeste,1178,1598,Sin datos
NEA,Santiago del Estero,Lilo Viejo,360,Sin datos,850
NEA,Santiago del Estero,Cuatro Bocas,22,25,0
NEA,Santiago del Estero,Rio Dulce,Sin datos,17,19
NEA,Santiago del Estero,La Rosita,0,3,Sin datos
NEA,Santiago del Estero,Weisburd,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Colonia Alpina,488,1592,556
NEA,Santiago del Estero,Isla Baja,1805,1670,76
NEA,Santiago del Estero,Tomás Young,859,1172,170
NEA,Santiago del Estero,Pozo del Toba,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Otumpa,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Campo del Cielo,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,El colorado,8,8,Sin datos
NEA,Santiago del Estero,Quimili,221,2600,2050
NEA,Santiago del Estero,Pampa de los Guanacos,346,2600,1820
NEA,Santa Fe,Villa Minetti,2080,486,22
NEA,Santa Fe,Villa Minetti,1060,730,420
NEA,Santa Fe,La Pelada,350,586,446
NEA,Santa Fe,Juamarita,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Ambrosetti,78,Trampa perdida,205
NEA,Santa Fe,Arroyo Ceibal,279,258,285
NEA,Santa Fe,Hersilia,122,581,285
NEA,Santa Fe,La Penca y Caraguatá,1262,547,162
NEA,Santa Fe,Ramayón,277,469,1054
NEA,Santa Fe,Alejandra,22,51,11
NEA,Santa Fe,Margarita,Trampa perdida,141,14
NEA,Santa Fe,Vera y Pintado,166,490,320
NEA,Santa Fe,Emilia,Sin datos,6,16
NEA,Santa Fe,La María,22,51,11
NEA,Santa Fe,La Osca,236,360,175
NEA,Santa Fe,Llambí Campbell,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Malabrigo,122,102,153
NEA,Santa Fe,Soledad,7,4,5
NEA,Santa Fe,Villa Saralegui,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Reconquista,567,338,217
NEA,Santa Fe,Calchaquí,5,7,7
NEA,Santa Fe,Logroño,1158,3217,72
NEA,Santa Fe,San javier,0,983,257
NEA,Santa Fe,La sarita,234,453,219
Litoral,Corrientes,Mercedes,36,26,0
Litoral,Corrientes,Ambrosio,212,32,55
Litoral,Corrientes,Corrientes,17,3,10
Litoral,Corrientes,Bella Vista,7,24,9
Litoral,Corrientes,Sauce,19,0,0
Litoral,Corrientes,Estancia el Rocio Copra,159,54,9
Litoral,Corrientes,Mercedes,0,8,17
Litoral,Corrientes,Virasoro,251,782,21
Litoral,Corrientes,Goya,0,0,18
Litoral,Corrientes,Ituzaingo,2,0,0
Litoral,Corrientes,Esquina,59,31,33
Litoral,Entre Ríos,Don Cristobal,6,Trampa perdida,3
Litoral,Entre Ríos,Isletas,Trampa perdida,0,0
Litoral,Entre Ríos,La paz,118,54,121
Litoral,Entre Ríos,Hinojal,0,0,0
Litoral,Entre Ríos,Colonia Celina,2,0,1
